sector,cohort,historical_ticker,provider_symbol,provider_asset_id,company_name,provider_industry,first_quoted_date,provider_last_quoted_date,expected_terminal_type,expected_event_date,expected_counterparty,successor_ticker,candidate_tier,review_status,event_reconciliation_status,pit_membership_status,terminal_value_status,include_in_historical_universe,calibration_eligible,discovery_source,event_source_url,selection_rationale,notes
Basic Materials,steel_producers_processors,AKS,AKS-202003,132198,AK Steel Holding Corp,Steel,1994-03-30,2020-03-12,cash_and_stock_acquisition,,Cleveland-Cliffs,CLF,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Representative steel-cycle history and a strategic acquisition outcome,
Basic Materials,steel_producers_processors,X,X-202506,129729,United States Steel Corp,Steel,1991-04-12,2025-06-17,cash_acquisition,2025-06-18,Nippon Steel,,1,candidate_unapproved,source_found_terminal_pending,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,https://www.sec.gov/Archives/edgar/data/1163302/000110465925060674/tm2517314d1_8k.htm,Long-cycle producer with recent clean deactivation and strong source coverage,
Basic Materials,steel_producers_processors,RDUS,RDUS-202507,140985,Radius Recycling Inc,Steel,1993-11-16,2025-07-10,cash_acquisition,2025-07-10,Toyota Tsusho America,,1,candidate_unapproved,source_found_terminal_pending,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/912603/000114036125025485/ef20051635_8k.htm,Long recycler and processor history with a recent cash exit,Historical ticker was SCHN before RDUS; retain one security lineage
Basic Materials,steel_producers_processors,USAP,USAP-202501,134848,Universal Stainless & Alloy Products Inc,Steel,1994-12-14,2025-01-22,cash_acquisition,2025-01-23,Aperam,,1,candidate_unapproved,source_found_terminal_pending,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,https://www.sec.gov/Archives/edgar/data/931584/000119312525011290/d861507dex991.htm,Specialty steel producer with a long public operating history,
Basic Materials,steel_producers_processors,HAYN,HAYN-202411,268843,Haynes International Inc,Steel,2004-09-21,2024-11-20,cash_acquisition,2024-11-21,North American Stainless and Acerinox,,1,candidate_unapproved,source_found_terminal_pending,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,https://www.sec.gov/Archives/edgar/data/858655/000110465924121366/tm2428965d6_ex99-1.htm,High-performance alloy producer adds aerospace-sensitive steel economics,
Basic Materials,steel_producers_processors,MUSA,MUSA-201304,495101,Metals USA Holdings Corp,Steel,2010-04-09,2013-04-12,cash_acquisition,,Reliance Steel & Aluminum,RS,2,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Processor and service-center analogue for RS and related current members,
Basic Materials,steel_producers_processors,GNA,GNA-201008,136994,Gerdau Ameristeel Corp,Steel,2003-10-28,2010-08-27,cash_acquisition,,Gerdau SA,GGB,2,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,North American mini-mill history adds an earlier steel cycle,
Basic Materials,steel_producers_processors,ZEUS,ZEUS-202602,126477,Olympic Steel Inc,Steel,1994-03-10,2026-02-12,stock_merger,2026-02-13,Ryerson Holding,RYI,1,candidate_unapproved,source_found_terminal_pending,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,https://www.sec.gov/Archives/edgar/data/917470/000119312526051373/d37005d8k.htm,Long service-center history and a recent stock-for-stock terminal event,
Basic Materials,specialty_chemicals_materials,SIAL,SIAL-201511,127977,Sigma-Aldrich Corp,Specialty Chemicals,1990-01-02,2015-11-17,cash_acquisition,,Merck KGaA,,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,High-quality life-science and specialty-chemical operating history,
Basic Materials,specialty_chemicals_materials,VAL,VAL-201705,138201,Valspar Corp,Specialty Chemicals,1990-01-02,2017-05-31,cash_acquisition,,Sherwin-Williams,SHW,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Direct coatings analogue with a long public history,
Basic Materials,specialty_chemicals_materials,GRA,GRA-202109,145300,W R Grace & Co,Specialty Chemicals,1990-01-02,2021-09-21,cash_acquisition,,Standard Industries Holdings,,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Catalysts and engineered-materials history across several cycles,
Basic Materials,specialty_chemicals_materials,KRA,KRA-202203,480085,Kraton Corp,Specialty Chemicals,2009-12-17,2022-03-14,cash_acquisition,,DL Chemical,,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Specialty polymers and additives analogue with feedstock sensitivity,
Basic Materials,specialty_chemicals_materials,CHMT,CHMT-201704,522267,Chemtura Corp,Specialty Chemicals,1990-01-02,2017-04-20,cash_acquisition,,LANXESS,,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Long-cycle additives and specialty-chemical history,
Basic Materials,specialty_chemicals_materials,CYT,CYT-201512,137426,Cytec Industries Inc,Specialty Chemicals,1993-12-22,2015-12-08,cash_acquisition,,Solvay,,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Advanced materials and specialty formulations analogue,
Basic Materials,specialty_chemicals_materials,SHLM,SHLM-201808,134084,A Schulman Inc,Specialty Chemicals,1990-01-02,2018-08-20,cash_acquisition,,LyondellBasell,LYB,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Engineered plastics and compounding history with cyclical exposure,
Basic Materials,specialty_chemicals_materials,FOE,FOE-202204,140762,Ferro Corp,Specialty Chemicals,1990-01-02,2022-04-21,cash_acquisition,,Prince International,,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Functional coatings and color-solutions history,
Basic Materials,specialty_chemicals_materials,OMN,OMN-202003,135578,OMNOVA Solutions Inc,Specialty Chemicals,1999-09-28,2020-03-31,cash_acquisition,,Synthomer,,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Specialty polymers history including a stressed-cycle exit,
Basic Materials,specialty_chemicals_materials,IPHS,IPHS-202002,224619,Innophos Holdings Inc,Specialty Chemicals,2006-11-02,2020-02-06,cash_acquisition,,One Rock Capital Partners,,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Specialty phosphate products are relevant to current cohort economics,
Basic Materials,mining_royalty_streaming,MMX,MMX-202301,659463,Maverix Metals Inc,Gold,2012-03-16,2023-01-19,mixed_acquisition,2023-01-19,Triple Flag Precious Metals,TFPM,1,candidate_unapproved,source_found_terminal_pending,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,https://www.sec.gov/Archives/edgar/data/1829726/000110465924039989/tm249686d2_ex99-1.pdf,Pure-play royalty and streaming analogue with a resolved provider asset,MMX is reused by older unrelated issuers; provider asset ID is mandatory
Basic Materials,mining_royalty_streaming,SAND,SAND-202510,503588,Sandstorm Gold Ltd,Gold,2009-05-29,2025-10-17,stock_acquisition,2025-10-20,Royal Gold,RGLD,1,candidate_unapproved,source_found_terminal_pending,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,https://www.sec.gov/Archives/edgar/data/85535/000008553525000149/rgld-20251020.htm,Large royalty and streaming history with a recent clean stock exit,
Basic Materials,mining_royalty_streaming,ROY,ROY-201002,182041,International Royalty Corp,Gold,2005-09-19,2010-02-22,mixed_acquisition,2010-02-22,Royal Gold,RGLD,1,candidate_unapproved,source_found_terminal_pending,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,https://www.sec.gov/Archives/edgar/data/85535/000095012310015840/d71192exv99w1.htm,Earlier-cycle royalty company with mixed cash and stock consideration,
Basic Materials,mining_royalty_streaming,NSR,,,Nomad Royalty Company Ltd,Gold,,,stock_acquisition,2022-08-15,Sandstorm Gold,SAND,2,candidate_unapproved,provider_mapping_blocked,pending_reconstruction,pending_reconciliation,0,0,SEC filings; provider mapping unresolved,https://www.sec.gov/Archives/edgar/data/1434614/000162828024005092/sand-20231231_d2.htm,Pure-play royalty analogue useful after provider identity is resolved,Norgate root NSR currently resolves Neustar; do not load until the correct asset is mapped
Basic Materials,precious_metals_producers,GG,GG-201904,130871,Goldcorp Inc,Gold,1990-01-02,2019-04-17,stock_acquisition,,Newmont,NEM,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Large diversified gold producer with multi-cycle history,
Basic Materials,precious_metals_producers,GOLD,GOLD-201812,131542,Randgold Resources Ltd ADR,Gold,2002-07-11,2018-12-28,stock_merger,,Barrick Gold,GOLD,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Large high-margin gold producer and critical ticker-reuse test,Historical Randgold security; GOLD is reused by Barrick and must never be joined on raw ticker alone
Basic Materials,precious_metals_producers,KL,KL-202202,2076052,Kirkland Lake Gold Ltd,Gold,2015-07-22,2022-02-08,stock_merger,,Agnico Eagle Mines,AEM,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,High-quality producer with strong margins and a stock merger outcome,
Basic Materials,precious_metals_producers,AUY,AUY-202303,141752,Yamana Gold Inc,Gold,2003-05-12,2023-03-31,mixed_acquisition,,Pan American Silver and Agnico Eagle,PAAS,1,candidate_unapproved,pending_primary_source,pending_reconstruction,pending_reconciliation,0,0,Norgate US Equities Delisted and Current & Past watchlists,,Long producer history and a complex split-asset transaction,
