sector,cohort,historical_ticker,provider_symbol,provider_asset_id,sec_cik,company_name,industry,exchange,country,trading_currency,security_type,membership_start_date,membership_end_date,membership_status,membership_basis,membership_source_id,membership_source_url,provider_evidence_label,classification_evidence_label,membership_confidence,review_status,reviewed_on,include_in_historical_universe,current_source_only,survivorship_corrected,calibration_eligible,terminal_reconciliation_required,notes
Basic Materials,steel_producers_processors,X,X-202506,129729,0001163302,United States Steel Corp,Steel,NYSE,United States,USD,Common Stock,1991-04-12,2025-06-17,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.95,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,Recent cash acquisition pilot
Basic Materials,steel_producers_processors,RDUS,RDUS-202507,140985,0000912603,Radius Recycling Inc,Steel,NasdaqGS,United States,USD,Common Stock,1993-11-16,2025-07-10,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.95,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,SCHN predecessor retained through alias table
Basic Materials,steel_producers_processors,HAYN,HAYN-202411,268843,0000858655,Haynes International Inc,Steel,NasdaqGS,United States,USD,Common Stock,2004-09-21,2024-11-20,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.95,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,High performance alloy producer
Basic Materials,steel_producers_processors,ZEUS,ZEUS-202602,126477,0000917470,Olympic Steel Inc,Steel,NasdaqGS,United States,USD,Common Stock,1994-03-10,2026-02-12,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.95,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,Stock merger conversion pilot
Basic Materials,specialty_chemicals_materials,VAL,VAL-201705,138201,0000102741,Valspar Corp,Specialty Chemicals,NYSE,United States,USD,Common Stock,1990-01-02,2017-05-31,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.95,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,Coatings analogue
Basic Materials,mining_royalty_streaming,MMX,MMX-202301,659463,0001773250,Maverix Metals Inc,Gold,NYSE American,Canada,USD,Common Stock,2012-03-16,2023-01-19,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.95,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,Provider asset ID controls reused ticker
Basic Materials,mining_royalty_streaming,SAND,SAND-202510,503588,0001434614,Sandstorm Gold Ltd,Gold,NYSE,Canada,USD,Common Stock,2009-05-29,2025-10-17,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.95,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,Royalty stock acquisition pilot
Basic Materials,precious_metals_producers,GOLD,GOLD-201812,131542,0001175580,Randgold Resources Ltd ADR,Gold,NasdaqGS,Jersey,USD,ADR/ADS,2002-07-11,2018-12-28,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.95,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,Historical GOLD is scoped to Randgold
Basic Materials,precious_metals_producers,GATO,GATO-202501,2741954,0001517006,Gatos Silver Inc,Silver,NYSE,United States,USD,Common Stock,2020-10-28,2025-01-15,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.95,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,Silver producer stock acquisition
Basic Materials,precious_metals_producers,ANV,ANVGQ-201510,277023,0001376610,Allied Nevada Gold Corp,Gold,NYSE American,United States,USD,Common Stock,2007-05-10,2015-10-21,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.90,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,Bankruptcy distribution remains unresolved
Basic Materials,industrial_metals_mining,MCP,MCPIQ-201608,509303,0001489137,Molycorp Inc,Diversified Metals & Mining,NYSE,United States,USD,Common Stock,2010-07-29,2016-08-31,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.90,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,Rare earth bankruptcy pilot
Basic Materials,industrial_metals_mining,GMO,GMOLQ-202107,155750,0001275229,General Moly Inc,Diversified Metals & Mining,NYSE American,United States,USD,Common Stock,2004-06-09,2021-07-06,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.90,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,Development stage bankruptcy pilot
Basic Materials,industrial_metals_mining,ALTM,ALTM-202503,3463459,0001977303,Arcadium Lithium PLC,Specialty Chemicals,NYSE,Jersey,USD,Common Stock,2024-01-04,2025-03-05,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.90,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,Short standalone lithium history
Basic Materials,commodity_chemicals,BIOA,BIOAQ-201911,780768,0001534287,BioAmber Inc,Commodity Chemicals,NYSE,Canada,USD,Common Stock,2013-05-10,2019-11-21,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.90,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,Asset sale is not assumed to equal equity recovery
Basic Materials,commodity_chemicals,AXLL,AXLL-201608,128621,0000805264,Axiall Corp,Commodity Chemicals,NYSE,United States,USD,Common Stock,1990-01-02,2016-08-30,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.95,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,Chlor alkali acquisition analogue
Basic Materials,building_materials,SUM,SUM-202502,2005949,0001621563,Summit Materials Inc,Construction Materials,NYSE,United States,USD,Common Stock,2015-03-12,2025-02-10,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.95,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,Aggregates cash acquisition
Basic Materials,building_materials,USCR,USCR-202108,521035,0001073429,US Concrete Inc,Construction Materials,NasdaqCM,United States,USD,Common Stock,2010-10-15,2021-08-25,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.95,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,Ready mix cash acquisition
Basic Materials,agricultural_inputs_crop_science,MON,MON-201806,140727,0001110783,Monsanto Co,Fertilizers & Agricultural Chemicals,NYSE,United States,USD,Common Stock,2000-10-18,2018-06-06,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.95,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,Crop science cash acquisition
Basic Materials,agricultural_inputs_crop_science,POT,POT-201712,147210,0000855931,Potash Corporation of Saskatchewan Inc,Fertilizers & Agricultural Chemicals,NYSE,Canada,USD,Common Stock,1990-01-02,2017-12-29,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.95,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,Nutrien predecessor conversion
Basic Materials,agricultural_inputs_crop_science,AGU,AGU-201712,141024,0000943003,Agrium Inc,Fertilizers & Agricultural Chemicals,NYSE,Canada,USD,Common Stock,1995-05-05,2017-12-29,historical,reviewed_provider_quote_history,basic_materials_historical_membership_review,https://norgatedata.com/,provider_snapshot_reviewed,candidate_census_reviewed,0.95,approved_stage2b_pilot,2026-09-05,1,0,1,0,1,Nutrien predecessor conversion
