event_key,canonical_ticker,historical_ticker,provider_symbol,provider_asset_id,event_type,event_date,last_trade_date,old_value,new_value,counterparty,successor_ticker,terminal_type,is_terminal_event,source_id,source_url,source_document_date,evidence_label,reviewed,review_status,reviewed_on,notes
terminal_X_20250618,X,X,X-202506,129729,cash_acquisition,2025-06-18,2025-06-17,X,cash,Nippon Steel,,cash_acquisition,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/1163302/000110465925060674/tm2517314d1_8k.htm,2025-06-18,primary_sec,1,approved_stage2b_pilot,2026-09-05,Merger completed after final quoted date
terminal_RDUS_20250710,RDUS,RDUS,RDUS-202507,140985,cash_acquisition,2025-07-10,2025-07-10,RDUS,cash,Toyota Tsusho America,,cash_acquisition,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/912603/000114036125025485/ef20051635_8k.htm,2025-07-10,primary_sec,1,approved_stage2b_pilot,2026-09-05,Cash merger completed
terminal_HAYN_20241121,HAYN,HAYN,HAYN-202411,268843,cash_acquisition,2024-11-21,2024-11-20,HAYN,cash,North American Stainless and Acerinox,,cash_acquisition,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/858655/000110465924121366/tm2428965d6_ex99-1.htm,2024-11-21,primary_sec,1,approved_stage2b_pilot,2026-09-05,Cash merger completed
terminal_ZEUS_20260213,ZEUS,ZEUS,ZEUS-202602,126477,stock_merger,2026-02-13,2026-02-12,ZEUS,RYI shares,Ryerson Holding,RYI,stock_merger,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/917470/000119312526051373/d37005d8k.htm,2026-02-13,primary_sec,1,approved_stage2b_pilot,2026-09-05,Stock merger completed
terminal_VAL_20170601,VAL,VAL,VAL-201705,138201,cash_acquisition,2017-06-01,2017-05-31,VAL,cash,Sherwin-Williams,SHW,cash_acquisition,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/102741/000119312517191056/d383000d8k.htm,2017-06-01,primary_sec,1,approved_stage2b_pilot,2026-09-05,Cash merger completed
terminal_MMX_20230119,MMX,MMX,MMX-202301,659463,mixed_acquisition,2023-01-19,2023-01-19,MMX,cash or TFPM shares,Triple Flag Precious Metals,TFPM,mixed_acquisition,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/1829726/000110465924039989/tm249686d2_ex99-1.pdf,2024-03-28,primary_sec,1,approved_stage2b_pilot,2026-09-05,Prorated mixed consideration requires allocation reconstruction
terminal_SAND_20251020,SAND,SAND,SAND-202510,503588,stock_acquisition,2025-10-20,2025-10-17,SAND,RGLD shares,Royal Gold,RGLD,stock_acquisition,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/85535/000008553525000149/rgld-20251020.htm,2025-10-20,primary_sec,1,approved_stage2b_pilot,2026-09-05,Stock acquisition completed
terminal_GOLD_20190101,GOLD,GOLD,GOLD-201812,131542,stock_merger,2019-01-01,2018-12-28,GOLD,B shares,Barrick Gold,B,stock_merger,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/1175580/000114420419000112/tv510199_ex99-3.htm,2019-01-02,primary_sec,1,approved_stage2b_pilot,2026-09-05,Randgold historical GOLD must not join to Barrick by raw ticker
terminal_GATO_20250116,GATO,GATO,GATO-202501,2741954,stock_acquisition,2025-01-16,2025-01-15,GATO,AG shares,First Majestic Silver,AG,stock_acquisition,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/1308648/000106299325000816/exhibit99-1.htm,2025-01-16,primary_sec,1,approved_stage2b_pilot,2026-09-05,Stock acquisition completed
terminal_ANV_20150310,ANV,ANV,ANVGQ-201510,277023,bankruptcy_reorganization,2015-03-10,2015-10-21,ANV,bankruptcy distribution,Chapter 11 creditors,,bankruptcy_reorganization,1,basic_materials_security_event_review,https://www.sec.gov/Archives/edgar/data/1376610/000119312515084300/d889389d8k.htm,2015-03-10,primary_sec,1,approved_stage2b_pilot,2026-09-05,Old equity recovery cannot be assumed to be zero
