event_key,historical_ticker,provider_symbol,provider_asset_id,event_type,economic_event_date,last_trade_date,provider_last_quoted_date,terminal_type,cash_consideration,cash_currency,successor_ticker,successor_share_ratio,successor_security_type,successor_reference_date,successor_price_source_id,successor_provider_symbol,fixed_terminal_value,terminal_value_method,survivorship_complete,calibration_eligible,reconciliation_status,source_id,primary_source_url,secondary_source_url,source_document_date,evidence_label,reviewed,review_status,reviewed_on,notes
terminal_X_20250618,X,X-202506,129729,cash_acquisition,2025-06-18,2025-06-17,2025-06-17,cash_acquisition,55,USD,,,,,,,,fixed_cash_close_consideration,0,0,terms_verified_price_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/1163302/000110465925060674/tm2517314d1_8k.htm,,2025-06-18,primary_sec,1,approved_stage2b_pilot,2026-09-05,Needs final quote alignment before return use
terminal_RDUS_20250710,RDUS,RDUS-202507,140985,cash_acquisition,2025-07-10,2025-07-10,2025-07-10,cash_acquisition,30,USD,,,,,,,,fixed_cash_close_consideration,0,0,terms_verified_price_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/912603/000114036125025485/ef20051635_8k.htm,,2025-07-10,primary_sec,1,approved_stage2b_pilot,2026-09-05,Needs final quote alignment before return use
terminal_HAYN_20241121,HAYN,HAYN-202411,268843,cash_acquisition,2024-11-21,2024-11-20,2024-11-20,cash_acquisition,61,USD,,,,,,,,fixed_cash_close_consideration,0,0,terms_verified_price_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/858655/000155837024000741/hayn-20240204xex99d1.htm,https://www.sec.gov/Archives/edgar/data/858655/000110465924121366/tm2428965d6_ex99-1.htm,2024-02-05,primary_sec,1,approved_stage2b_pilot,2026-09-05,Needs final quote alignment before return use
terminal_ZEUS_20260213,ZEUS,ZEUS-202602,126477,stock_merger,2026-02-13,2026-02-12,2026-02-12,stock_merger,,,RYI,1.7105,Common Stock,2026-02-13,stage3_market_prices_pending,,,successor_share_conversion_pending_price,0,0,successor_price_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/917470/000119312526051373/d37005d8k.htm,,2026-02-13,primary_sec,1,approved_stage2b_pilot,2026-09-05,Requires successor reference price
terminal_VAL_20170601,VAL,VAL-201705,138201,cash_acquisition,2017-06-01,2017-05-31,2017-05-31,cash_acquisition,113,USD,,,,,,,,fixed_cash_close_consideration,0,0,terms_verified_price_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/102741/000119312517191056/d383000d8k.htm,,2017-06-01,primary_sec,1,approved_stage2b_pilot,2026-09-05,Needs final quote alignment before return use
terminal_MMX_20230119,MMX,MMX-202301,659463,mixed_acquisition,2023-01-19,2023-01-19,2023-01-19,mixed_acquisition,3.92,USD,TFPM,0.36,Common Stock,2023-01-20,stage3_market_prices_pending,,,mixed_prorated_cash_or_stock,0,0,allocation_and_price_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/1829726/000110465924039989/tm249686d2_ex99-1.pdf,https://www.sec.gov/Archives/edgar/data/1829726/000115752322001583/a52966236_ex991.htm,2024-03-28,primary_sec,1,approved_stage2b_pilot,2026-09-05,Terms are 15 percent cash and 85 percent stock subject to election and proration
terminal_SAND_20251020,SAND,SAND-202510,503588,stock_acquisition,2025-10-20,2025-10-17,2025-10-17,stock_acquisition,,,RGLD,0.0625,Common Stock,2025-10-20,stage3_market_prices_pending,,,successor_share_conversion_pending_price,0,0,successor_price_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/85535/000008553525000149/rgld-20251020.htm,https://www.sec.gov/Archives/edgar/data/1434614/000127956925001118/ex991.htm,2025-10-20,primary_sec,1,approved_stage2b_pilot,2026-09-05,Requires successor reference price
terminal_GOLD_20190101,GOLD,GOLD-201812,131542,stock_merger,2019-01-01,2018-12-28,2018-12-28,stock_merger,,,B,6.128,Common Stock,2019-01-02,stage3_market_prices_pending,,,successor_share_conversion_pending_price,0,0,successor_price_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/1175580/000114420419000112/tv510199_ex99-3.htm,https://www.sec.gov/Archives/edgar/data/756894/000119312519072723/d686959dex991.htm,2019-01-02,primary_sec,1,approved_stage2b_pilot,2026-09-05,Successor is normalized to current Barrick ticker B
terminal_GATO_20250116,GATO,GATO-202501,2741954,stock_acquisition,2025-01-16,2025-01-15,2025-01-15,stock_acquisition,,,AG,2.55,Common Stock,2025-01-16,stage3_market_prices_pending,,,successor_share_conversion_pending_price,0,0,successor_price_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/1308648/000106299325000816/exhibit99-1.htm,https://www.sec.gov/Archives/edgar/data/1308648/000162828025017579/ag-2025x04x11xex991.htm,2025-01-16,primary_sec,1,approved_stage2b_pilot,2026-09-05,Requires successor reference price
terminal_ANV_20150310,ANV,ANVGQ-201510,277023,bankruptcy_reorganization,2015-03-10,2015-10-21,2015-10-21,bankruptcy_reorganization,,,,,,,,,,bankruptcy_distribution_pending,0,0,bankruptcy_distribution_pending,basic_materials_terminal_event_review,https://www.sec.gov/Archives/edgar/data/1376610/000119312515084300/d889389d8k.htm,,2015-03-10,primary_sec,1,approved_stage2b_pilot,2026-09-05,Do not encode zero until old equity distribution is verified
