ticker,expected_current_cohort,new_cohort,effective_date,reason
ARGX,late_clinical_pivotal_or_registrational,commercial_profitable_quality_or_mature,2026-08-31,user_approved_cohort_reorganization_20260830
PBYI,commercial_turnaround_or_unprofitable_growth,commercial_profitable_quality_or_mature,2026-08-31,user_approved_cohort_reorganization_20260830
PCRX,commercial_turnaround_or_unprofitable_growth,commercial_profitable_quality_or_mature,2026-08-31,user_approved_cohort_reorganization_20260830
GMAB,platform_partnered_modality_pipeline,commercial_profitable_quality_or_mature,2026-08-31,user_approved_cohort_reorganization_20260830
BCRX,early_clinical_speculative_or_single_asset_pipeline,commercial_profitable_quality_or_mature,2026-08-31,user_approved_cohort_reorganization_20260830
BBIO,late_clinical_pivotal_or_registrational,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
RARE,late_clinical_pivotal_or_registrational,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
IONS,late_clinical_pivotal_or_registrational,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
ROIV,late_clinical_pivotal_or_registrational,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
AUTL,platform_partnered_modality_pipeline,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
IVVD,platform_partnered_modality_pipeline,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
LEGN,platform_partnered_modality_pipeline,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
PGEN,platform_partnered_modality_pipeline,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
SPRY,platform_partnered_modality_pipeline,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
VERA,platform_partnered_modality_pipeline,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
VRDN,platform_partnered_modality_pipeline,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
VSTM,platform_partnered_modality_pipeline,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
ZVRA,platform_partnered_modality_pipeline,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
ABEO,early_clinical_speculative_or_single_asset_pipeline,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
ADCT,early_clinical_speculative_or_single_asset_pipeline,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
CELC,early_clinical_speculative_or_single_asset_pipeline,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
CHRS,early_clinical_speculative_or_single_asset_pipeline,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
KURA,early_clinical_speculative_or_single_asset_pipeline,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
LENZ,early_clinical_speculative_or_single_asset_pipeline,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
OMER,early_clinical_speculative_or_single_asset_pipeline,commercial_turnaround_or_unprofitable_growth,2026-08-31,user_approved_cohort_reorganization_20260830
