enabled,ticker,nct_id,override_status,exclude_from_scoring,manual_review,source_name,source_url,source_excerpt,override_reason,reviewer,verified_date
true,IMVT,NCT05517447,failed_parent_program,true,true,Immunovant Apr 2 2026 phase 3 TED update,https://www.immunovant.com/investors/news-events/press-releases/detail/81/immunovant-announces-phase-3-study-results-for-batoclimab,"Immunovant reported that two Phase 3 GO studies evaluating batoclimab in thyroid eye disease each failed to meet the primary endpoint.","TED extension study remains CTGov-active, but parent Phase 3 TED program failed and should not drive active catalyst scoring.",JL,2026-04-22
true,ROIV,NCT05517447,failed_parent_program,true,true,Immunovant Apr 2 2026 phase 3 TED update,https://www.immunovant.com/investors/news-events/press-releases/detail/81/immunovant-announces-phase-3-study-results-for-batoclimab,"Immunovant reported that two Phase 3 GO studies evaluating batoclimab in thyroid eye disease each failed to meet the primary endpoint.","ROIV program-linked TED extension study should not drive active catalyst scoring after parent Phase 3 TED failure.",JL,2026-04-22
true,BMRN,NCT06668805,partial_discontinuation,false,true,BioMarin Mar 16 2026 VOXZOGO clinical trial update,https://www.biomarin.com/news/company-statements/biomarin-clinical-trial-update-on-voxzogo-vosoritide/,"BioMarin decided to discontinue enrollment and dosing of VOXZOGO in children with Turner syndrome, SHOX deficiency and aggrecan deficiency; Noonan and ISS without ACAN deficiency continue as planned.","Mixed-status basket trial: keep visible but require manual review before treating the full NCT as an active catalyst.",JL,2026-04-22
true,COLL,NCT02147002,false_company_match,true,true,ClinicalTrials.gov local sponsor record,https://clinicaltrials.gov/study/NCT02147002,Lead sponsor is Collegium Medicum w Bydgoszczy not Collegium Pharmaceutical.,False-positive token match to Polish medical university; exclude from COLL scoring evidence.,Codex,2026-05-27
true,COLL,NCT02217878,false_company_match,true,true,ClinicalTrials.gov local sponsor record,https://clinicaltrials.gov/study/NCT02217878,Lead sponsor is Collegium Medicum w Bydgoszczy not Collegium Pharmaceutical.,False-positive token match to Polish medical university; exclude from COLL scoring evidence.,Codex,2026-05-27
true,COLL,NCT02612116,false_company_match,true,true,ClinicalTrials.gov local sponsor record,https://clinicaltrials.gov/study/NCT02612116,Lead sponsor is Collegium Medicum w Bydgoszczy not Collegium Pharmaceutical.,False-positive token match to Polish medical university; exclude from COLL scoring evidence.,Codex,2026-05-27
true,COLL,NCT02772640,false_company_match,true,true,ClinicalTrials.gov local sponsor record,https://clinicaltrials.gov/study/NCT02772640,Lead sponsor is Collegium Medicum w Bydgoszczy not Collegium Pharmaceutical.,False-positive token match to Polish medical university; exclude from COLL scoring evidence.,Codex,2026-05-27
true,COLL,NCT02939235,false_company_match,true,true,ClinicalTrials.gov local sponsor record,https://clinicaltrials.gov/study/NCT02939235,Lead sponsor is Collegium Medicum w Bydgoszczy not Collegium Pharmaceutical.,False-positive token match to Polish medical university; exclude from COLL scoring evidence.,Codex,2026-05-27
true,COLL,NCT02939248,false_company_match,true,true,ClinicalTrials.gov local sponsor record,https://clinicaltrials.gov/study/NCT02939248,Lead sponsor is Collegium Medicum w Bydgoszczy not Collegium Pharmaceutical.,False-positive token match to Polish medical university; exclude from COLL scoring evidence.,Codex,2026-05-27
true,COLL,NCT03074604,false_company_match,true,true,ClinicalTrials.gov local sponsor record,https://clinicaltrials.gov/study/NCT03074604,Lead sponsor is Collegium Medicum w Bydgoszczy not Collegium Pharmaceutical.,False-positive token match to Polish medical university; exclude from COLL scoring evidence.,Codex,2026-05-27
true,COLL,NCT03251859,false_company_match,true,true,ClinicalTrials.gov local sponsor record,https://clinicaltrials.gov/study/NCT03251859,Lead sponsor is Collegium Medicum w Bydgoszczy not Collegium Pharmaceutical.,False-positive token match to Polish medical university; exclude from COLL scoring evidence.,Codex,2026-05-27
true,COLL,NCT03764722,false_company_match,true,true,ClinicalTrials.gov local sponsor record,https://clinicaltrials.gov/study/NCT03764722,Lead sponsor is Collegium Medicum w Bydgoszczy not Collegium Pharmaceutical.,False-positive token match to Polish medical university; exclude from COLL scoring evidence.,Codex,2026-05-27
true,COLL,NCT04442919,false_company_match,true,true,ClinicalTrials.gov local sponsor record,https://clinicaltrials.gov/study/NCT04442919,Lead sponsor is Collegium Medicum w Bydgoszczy not Collegium Pharmaceutical.,False-positive token match to Polish medical university; exclude from COLL scoring evidence.,Codex,2026-05-27
true,COLL,NCT04476173,false_company_match,true,true,ClinicalTrials.gov local sponsor record,https://clinicaltrials.gov/study/NCT04476173,Lead sponsor is Collegium Medicum w Bydgoszczy not Collegium Pharmaceutical.,False-positive token match to Polish medical university; exclude from COLL scoring evidence.,Codex,2026-05-27
true,COLL,NCT04718025,false_company_match,true,true,ClinicalTrials.gov local sponsor record,https://clinicaltrials.gov/study/NCT04718025,Lead sponsor is Collegium Medicum w Bydgoszczy not Collegium Pharmaceutical.,False-positive token match to Polish medical university; exclude from COLL scoring evidence.,Codex,2026-05-27
true,COLL,NCT04941105,false_company_match,true,true,ClinicalTrials.gov local sponsor record,https://clinicaltrials.gov/study/NCT04941105,Lead sponsor is Collegium Medicum w Bydgoszczy not Collegium Pharmaceutical.,False-positive token match to Polish medical university; exclude from COLL scoring evidence.,Codex,2026-05-27
true,COLL,NCT05779059,false_company_match,true,true,ClinicalTrials.gov local sponsor record,https://clinicaltrials.gov/study/NCT05779059,Lead sponsor is Collegium Medicum w Bydgoszczy not Collegium Pharmaceutical.,False-positive token match to Polish medical university; exclude from COLL scoring evidence.,Codex,2026-05-27
true,COLL,NCT05905965,false_company_match,true,true,ClinicalTrials.gov local sponsor record,https://clinicaltrials.gov/study/NCT05905965,Lead sponsor is Collegium Medicum w Bydgoszczy not Collegium Pharmaceutical.,False-positive token match to Polish medical university; exclude from COLL scoring evidence.,Codex,2026-05-27
true,COLL,NCT07203846,false_company_match,true,true,ClinicalTrials.gov local sponsor record,https://clinicaltrials.gov/study/NCT07203846,Lead sponsor is Collegium Medicum w Bydgoszczy not Collegium Pharmaceutical.,False-positive token match to Polish medical university; exclude from COLL scoring evidence.,Codex,2026-05-27
true,COLL,NCT07476508,false_company_match,true,true,ClinicalTrials.gov local sponsor record,https://clinicaltrials.gov/study/NCT07476508,Lead sponsor is Collegium Medicum w Bydgoszczy not Collegium Pharmaceutical.,False-positive token match to Polish medical university; exclude from COLL scoring evidence.,Codex,2026-05-27
