ticker,cusip,company_name,cik,share_class_figi,norgate_symbol,source
AKAO,004449104,Achaogen Inc.,0001301501,BBG0017R3M27,AKAOQ-202106,delisted_biotech_calibration_candidates
ANAC,032420101,Anacor Pharmaceuticals Inc.,0001411158,BBG000V0R611,ANAC-201606,delisted_biotech_calibration_candidates
APTX,03836N103,Aptinyx Inc.,0001674365,BBG00K18W5H8,APTX-202312,delisted_biotech_calibration_candidates
ARIA,04033A100,Ariad Pharmaceuticals Inc.,0000884731,BBG000BDD683,ARIA-201702,delisted_biotech_calibration_candidates
AUXL,05334D107,Auxilium Pharmaceuticals Inc.,0001182129,BBG000PFRGD4,AUXL-201501,delisted_biotech_calibration_candidates
AVXS,05366U100,AveXis Inc.,0001652923,BBG009P5KXM5,AVXS-201805,delisted_biotech_calibration_candidates
BOLD,05070R104,Audentes Therapeutics Inc.,0001628738,BBG009R9X8D1,BOLD-202001,delisted_biotech_calibration_candidates
CASC,14740B606,Cascadian Therapeutics Inc.,0001412067,BBG000QF09F8,CASC-201803,delisted_biotech_calibration_candidates
CBST,229678107,Cubist Pharmaceuticals Inc.,0000912183,BBG000BK50V1,CBST-201501,delisted_biotech_calibration_candidates
CDAK,192010106,Codiak BioSciences Inc.,0001659352,BBG00X3M9R58,CDAKQ-202307,delisted_biotech_calibration_candidates
CELG,151020104,Celgene Corp.,0000816284,BBG000BHXDV1,CELG-201911,delisted_biotech_calibration_candidates
CEPH,156708109,Cephalon Inc.,0000873364,BBG000BCTY21,CEPH-201110,delisted_biotech_calibration_candidates
CLVS,189464100,Clovis Oncology Inc.,0001466301,BBG0017869X0,CLVSQ-202307,delisted_biotech_calibration_candidates
DNA,368710406,"Genentech, Inc.",0000318771,BBG000BJB751,DNA-200903,delisted_biotech_calibration_candidates
DNDN,24823Q107,Dendreon Corp.,0001107332,BBG000BS8V91,DNDNQ-201506,delisted_biotech_calibration_candidates
DRNA,253031108,Dicerna Pharmaceuticals Inc.,0001562088,BBG0017M78R2,DRNA-202112,delisted_biotech_calibration_candidates
EIGR,28249U204,Eiger BioPharmaceuticals Inc.,0001305253,BBG000BDBH25,EIGRQ-202409,delisted_biotech_calibration_candidates
FPRX,33830X104,Five Prime Therapeutics Inc.,0001175505,BBG00178MDS7,FPRX-202104,delisted_biotech_calibration_candidates
GENZ,372917104,Genzyme Corp.,0000732485,BBG000C12C07,GENZ-201104,delisted_biotech_calibration_candidates
GRTS,39868T105,Gritstone bio Inc.,0001656634,BBG00L2B70W1,GRTSQ-202504,delisted_biotech_calibration_candidates
HGEN,444863203,Humanigen Inc.,0001351197,BBG000C6M6X9,HGENQ-202407,delisted_biotech_calibration_candidates
HGSI,444903108,Human Genome Sciences Inc.,0000901219,BBG000BGC0C3,HGSI-201208,delisted_biotech_calibration_candidates
IMCL,45245W109,ImClone Systems Inc.,0000765258,BBG000BLM8W3,IMCL-200811,delisted_biotech_calibration_candidates
