ticker,calibration_company_ticker,company_name,cik,cusip,share_class_figi,norgate_symbol,cohort,price_start_date,price_end_date,terminal_date,recovery_type,equity_recovery,terminal_recovery_effective,terminal_treatment_status,terminal_consideration,drop_otc_tape,verification_status,source_candidate_row_status
AKAO,AKAOQ-202106,Achaogen Inc.,0001301501,004449104,BBG0017R3M27,AKAOQ-202106,commercial_turnaround_or_unprofitable_growth,2014-03-12,2021-06-18,2019-06-13,wipeout,0.00,0.000000,explicit_equity_recovery,Verified hard-zero terminal recovery; common equity wipeout,true,norgate_price_identity_mapped_pending_final_review,strict_usable
ANAC,ANAC-201606,Anacor Pharmaceuticals Inc.,0001411158,032420101,BBG000V0R611,ANAC-201606,late_clinical_pivotal_or_registrational,2010-11-24,2016-06-23,2016-06-23,,,99.250000,parsed_cash_only_consideration,$99.25 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
APTX,APTX-202312,Aptinyx Inc.,0001674365,03836N103,BBG00K18W5H8,APTX-202312,early_clinical_speculative_or_single_asset_pipeline,2018-06-21,2023-12-29,2023-05-31,wipeout,0.00,0.000000,explicit_equity_recovery,Verified hard-zero terminal recovery; common equity wipeout,true,norgate_price_identity_mapped_pending_final_review,strict_usable
ARIA,ARIA-201702,Ariad Pharmaceuticals Inc.,0000884731,04033A100,BBG000BDD683,ARIA-201702,late_clinical_pivotal_or_registrational,1994-09-19,2017-02-15,2017-02-15,,,24.000000,parsed_cash_only_consideration,$24.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
AUXL,AUXL-201501,Auxilium Pharmaceuticals Inc.,0001182129,05334D107,BBG000PFRGD4,AUXL-201501,commercial_turnaround_or_unprofitable_growth,2004-07-23,2015-01-29,2015-01-29,cash_stock,33.250000,33.250000,explicit_equity_recovery,$4.88 cash + 0.488 ENDP shares per AUXL share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
AVXS,AVXS-201805,AveXis Inc.,0001652923,05366U100,BBG009P5KXM5,AVXS-201805,platform_partnered_modality_pipeline,2016-02-11,2018-05-14,2018-05-14,,,218.000000,parsed_cash_only_consideration,$218.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
BOLD,BOLD-202001,Audentes Therapeutics Inc.,0001628738,05070R104,BBG009R9X8D1,BOLD-202001,platform_partnered_modality_pipeline,2016-07-20,2020-01-14,2020-01-14,,,60.000000,parsed_cash_only_consideration,$60.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
CASC,CASC-201803,Cascadian Therapeutics Inc.,0001412067,14740B606,BBG000QF09F8,CASC-201803,early_clinical_speculative_or_single_asset_pipeline,1991-11-19,2018-03-08,2018-03-08,,,10.000000,parsed_cash_only_consideration,$10.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
CBST,CBST-201501,Cubist Pharmaceuticals Inc.,0000912183,229678107,BBG000BK50V1,CBST-201501,commercial_profitable_quality_or_mature,1996-10-25,2015-01-21,2015-01-21,,,102.000000,parsed_cash_only_consideration,$102.00 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
CDAK,CDAKQ-202307,Codiak BioSciences Inc.,0001659352,192010106,BBG00X3M9R58,CDAKQ-202307,platform_partnered_modality_pipeline,2020-10-14,2023-07-06,2023-09-30,wipeout,0.00,0.000000,explicit_equity_recovery,Verified hard-zero terminal recovery; common equity wipeout,true,norgate_price_identity_mapped_pending_final_review,strict_usable
CELG,CELG-201911,Celgene Corp.,0000816284,151020104,BBG000BHXDV1,CELG-201911,commercial_profitable_quality_or_mature,1990-01-02,2019-11-20,2019-11-20,cash_stock_cvr,106.410000,106.410000,explicit_equity_recovery,$50.00 cash + 1.0 BMY share + 1 tradeable CVR per CELG share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
CEPH,CEPH-201110,Cephalon Inc.,0000873364,156708109,BBG000BCTY21,CEPH-201110,commercial_profitable_quality_or_mature,1991-04-25,2011-10-13,2011-10-13,,,81.500000,parsed_cash_only_consideration,$81.50 cash per share,false,norgate_price_identity_mapped_pending_final_review,strict_usable
