ticker,calibration_cohort_id,applicability_subtype,review_status,source_note
BUD,beverages,alcohol,reviewed,brewer
STZ,beverages,alcohol,reviewed,alcoholic beverages
TAP,beverages,alcohol,reviewed,brewer
CCU,beverages,mixed_beverage,reviewed,alcoholic and non-alcoholic beverages
SAM,beverages,alcohol,reviewed,brewer
ABEV,beverages,mixed_beverage,reviewed,alcoholic and non-alcoholic beverages
KO,beverages,non_alcohol,reviewed,non-alcoholic beverages
PEP,beverages,mixed_beverage,reviewed,beverages and convenient foods
MNST,beverages,non_alcohol,reviewed,energy beverages
CCEP,beverages,non_alcohol,reviewed,non-alcoholic beverage bottler
KDP,beverages,non_alcohol,reviewed,coffee and non-alcoholic beverages
COKE,beverages,non_alcohol,reviewed,non-alcoholic beverage bottler
PRMB,beverages,non_alcohol,reviewed,non-alcoholic beverages
CELH,beverages,non_alcohol,reviewed,energy beverages
COCO,beverages,non_alcohol,reviewed,non-alcoholic beverages
FIZZ,beverages,non_alcohol,reviewed,non-alcoholic beverages
ZVIA,beverages,non_alcohol,reviewed,non-alcoholic beverages
WEST,beverages,non_alcohol,reviewed,coffee
KOF,beverages,non_alcohol,reviewed,non-alcoholic beverage bottler
DEO,beverages,alcohol,reviewed,distilled spirits
BF-B,beverages,alcohol,reviewed,distilled spirits
MGPI,beverages,alcohol,reviewed,distilled spirits ingredients and brands
FMX,consumer_staples_distribution_retail,hybrid,reviewed,convenience retail and beverages
WMT,consumer_staples_distribution_retail,retail,reviewed,mass retail
COST,consumer_staples_distribution_retail,retail,reviewed,warehouse retail
TGT,consumer_staples_distribution_retail,retail,reviewed,mass retail
DG,consumer_staples_distribution_retail,retail,reviewed,discount retail
DLTR,consumer_staples_distribution_retail,retail,reviewed,discount retail
BJ,consumer_staples_distribution_retail,retail,reviewed,warehouse retail
PSMT,consumer_staples_distribution_retail,retail,reviewed,warehouse retail
TBBB,consumer_staples_distribution_retail,retail,reviewed,grocery retail
KR,consumer_staples_distribution_retail,retail,reviewed,grocery retail
SYY,consumer_staples_distribution_retail,food_distribution,reviewed,foodservice distribution
CASY,consumer_staples_distribution_retail,retail,reviewed,convenience retail
ACI,consumer_staples_distribution_retail,retail,reviewed,grocery retail
CART,consumer_staples_distribution_retail,hybrid,reviewed,digital grocery marketplace
CHEF,consumer_staples_distribution_retail,food_distribution,reviewed,foodservice distribution
GO,consumer_staples_distribution_retail,retail,reviewed,grocery retail
IMKTA,consumer_staples_distribution_retail,retail,reviewed,grocery retail
PFGC,consumer_staples_distribution_retail,food_distribution,reviewed,foodservice distribution
SFM,consumer_staples_distribution_retail,retail,reviewed,grocery retail
UNFI,consumer_staples_distribution_retail,food_distribution,reviewed,food distribution
USFD,consumer_staples_distribution_retail,food_distribution,reviewed,foodservice distribution
WMK,consumer_staples_distribution_retail,retail,reviewed,grocery retail
PG,household_personal_tobacco,household_personal,reviewed,household and personal care
CL,household_personal_tobacco,household_personal,reviewed,household and personal care
KVUE,household_personal_tobacco,household_personal,reviewed,consumer health and personal care
KMB,household_personal_tobacco,household_personal,reviewed,household and personal care
EL,household_personal_tobacco,household_personal,reviewed,beauty
CHD,household_personal_tobacco,household_personal,reviewed,household and personal care
CLX,household_personal_tobacco,household_personal,reviewed,household products
ELF,household_personal_tobacco,household_personal,reviewed,beauty
IPAR,household_personal_tobacco,household_personal,reviewed,beauty
COTY,household_personal_tobacco,household_personal,reviewed,beauty
SPB,household_personal_tobacco,household_personal,reviewed,household and personal care
EPC,household_personal_tobacco,household_personal,reviewed,personal care
ODD,household_personal_tobacco,household_personal,reviewed,beauty
HNST,household_personal_tobacco,household_personal,reviewed,personal care
NUS,household_personal_tobacco,direct_selling_wellness,reviewed,direct selling personal care and wellness
MO,household_personal_tobacco,tobacco,reviewed,tobacco
PM,household_personal_tobacco,tobacco,reviewed,tobacco
BTI,household_personal_tobacco,tobacco,reviewed,tobacco
ENR,household_personal_tobacco,household_personal,reviewed,household products
ODC,household_personal_tobacco,household_personal,reviewed,household products
REYN,household_personal_tobacco,household_personal,reviewed,household products
TPB,household_personal_tobacco,tobacco,reviewed,tobacco
UL,household_personal_tobacco,household_personal,reviewed,household and personal care
UVV,household_personal_tobacco,tobacco,reviewed,tobacco leaf
WDFC,household_personal_tobacco,household_personal,reviewed,household products
JBS,packaged_foods_agricultural_products,protein_dairy,reviewed,protein
KHC,packaged_foods_agricultural_products,branded_food,reviewed,branded packaged food
GIS,packaged_foods_agricultural_products,branded_food,reviewed,branded packaged food
MKC,packaged_foods_agricultural_products,branded_food,reviewed,spices and branded food
HRL,packaged_foods_agricultural_products,protein_dairy,reviewed,protein and branded food
SJM,packaged_foods_agricultural_products,branded_food,reviewed,branded packaged food
DAR,packaged_foods_agricultural_products,agricultural_processor,reviewed,agricultural processing
CAG,packaged_foods_agricultural_products,branded_food,reviewed,branded packaged food
LW,packaged_foods_agricultural_products,branded_food,reviewed,branded potato products
CPB,packaged_foods_agricultural_products,branded_food,reviewed,branded packaged food
INGR,packaged_foods_agricultural_products,agricultural_processor,reviewed,ingredient processing
PPC,packaged_foods_agricultural_products,protein_dairy,reviewed,protein
POST,packaged_foods_agricultural_products,branded_food,reviewed,branded packaged food
FRPT,packaged_foods_agricultural_products,branded_food,reviewed,branded pet food
MZTI,packaged_foods_agricultural_products,private_label,reviewed,private-label food manufacturing
JJSF,packaged_foods_agricultural_products,branded_food,reviewed,branded packaged food
NOMD,packaged_foods_agricultural_products,branded_food,reviewed,branded frozen food
FLO,packaged_foods_agricultural_products,branded_food,reviewed,branded bakery
BRBR,packaged_foods_agricultural_products,branded_food,reviewed,branded nutrition products
HLF,packaged_foods_agricultural_products,branded_food,reviewed,branded nutrition products
UTZ,packaged_foods_agricultural_products,branded_food,reviewed,branded snacks
SENEA,packaged_foods_agricultural_products,private_label,reviewed,private-label and branded vegetables
SMPL,packaged_foods_agricultural_products,branded_food,reviewed,branded nutrition products
JBSS,packaged_foods_agricultural_products,branded_food,reviewed,branded nuts
MAMA,packaged_foods_agricultural_products,branded_food,reviewed,branded prepared food
BGS,packaged_foods_agricultural_products,branded_food,reviewed,branded packaged food
MDLZ,packaged_foods_agricultural_products,branded_food,reviewed,branded snacks
TSN,packaged_foods_agricultural_products,protein_dairy,reviewed,protein
ADM,packaged_foods_agricultural_products,agricultural_processor,reviewed,agricultural processing
ANDE,packaged_foods_agricultural_products,agricultural_processor,reviewed,agricultural merchandising
AVO,packaged_foods_agricultural_products,agricultural_processor,reviewed,fresh produce
BG,packaged_foods_agricultural_products,agricultural_processor,reviewed,agricultural processing
CALM,packaged_foods_agricultural_products,protein_dairy,reviewed,eggs
CENTA,packaged_foods_agricultural_products,branded_food,reviewed,pet consumables and garden products
DMC,packaged_foods_agricultural_products,branded_food,reviewed,branded food
DOLE,packaged_foods_agricultural_products,agricultural_processor,reviewed,fresh produce
HSY,packaged_foods_agricultural_products,branded_food,reviewed,branded confectionery
SFD,packaged_foods_agricultural_products,protein_dairy,reviewed,protein
VITL,packaged_foods_agricultural_products,protein_dairy,reviewed,eggs and dairy
WBA,consumer_staples_distribution_retail,retail,reviewed,historical pharmacy and staples retail
SPTN,consumer_staples_distribution_retail,hybrid,reviewed,historical food distribution and grocery retail
SVU,consumer_staples_distribution_retail,hybrid,reviewed,historical food distribution and grocery retail
CORE,consumer_staples_distribution_retail,food_distribution,reviewed,historical foodservice distribution
AVP,household_personal_tobacco,direct_selling_wellness,reviewed,historical direct selling beauty
VGR,household_personal_tobacco,tobacco,reviewed,historical tobacco
K,packaged_foods_agricultural_products,branded_food,reviewed,historical branded food
TWNK,packaged_foods_agricultural_products,branded_food,reviewed,historical branded food
SAFM,packaged_foods_agricultural_products,protein_dairy,reviewed,historical protein
DF,packaged_foods_agricultural_products,protein_dairy,reviewed,historical dairy
LNCE,packaged_foods_agricultural_products,branded_food,reviewed,historical branded snacks
