ticker,event_type,economic_event_date,last_trade_date,provider_last_quoted_date,terminal_type,cash_consideration,cash_currency,successor_ticker,successor_share_ratio,successor_security_type,successor_reference_date,successor_price_source_id,successor_provider_symbol,contingent_right_id,contingent_right_units,contingent_max_cash,contingent_status,fixed_terminal_value,terminal_value_method,survivorship_complete,calibration_eligible,reconciliation_status,primary_source_url,secondary_source_url,source_document_date,notes
WBA,cash_acquisition,2025-08-28,2025-08-27,2025-08-27,cash_and_contingent_right,11.45,USD,,,,,,,divested_asset_proceed_right,1,3.00,unresolved,11.45,cash_floor_plus_unresolved_contingent_right,0,0,contingent_value_pending,https://www.sec.gov/Archives/edgar/data/1618921/000119312525190603/d87240d8k.htm,https://www.sec.gov/Archives/edgar/data/1618921/000119312525050097/d935649ddefa14a.htm,2025-08-28,Each share received cash plus one non-transferable right worth up to 3.00; the right may be worth zero and remains unresolved.
SPTN,cash_acquisition,2025-09-22,2025-09-19,2025-09-19,cash,26.90,USD,,,,,,,,,,,26.90,fixed_cash,1,1,verified,https://www.sec.gov/Archives/edgar/data/877422/000110465925091946/tm2526608d1_8k.htm,https://www.sec.gov/Archives/edgar/data/877422/000182579125000010/xslF345X03/primarydocument.xml,2025-09-22,All common shares converted into the right to receive 26.90 cash.
SVU,cash_acquisition,2018-10-22,2018-10-19,2018-10-19,cash,32.50,USD,,,,,,,,,,,32.50,fixed_cash,1,1,verified,https://www.sec.gov/Archives/edgar/data/1020859/000110465918063185/a18-36878_28k.htm,,2018-10-22,All common shares converted into the right to receive 32.50 cash.
CORE,cash_and_stock_acquisition,2021-09-01,2021-09-01,2021-09-01,cash_and_stock,23.875,USD,PFGC,0.44,common_stock,2021-09-01,yahoo_finance_adjusted,PFGC,,,,,,cash_plus_successor_total_return,1,1,verified,https://www.sec.gov/Archives/edgar/data/1618673/000119312521263304/d226850d8k.htm,,2021-09-01,Each common share received 23.875 cash plus 0.44 Performance Food Group common shares; PFGC is the tradable price symbol.
AVP,stock_acquisition,2020-01-03,2020-01-03,2020-01-03,successor_security,0,USD,NTCO,0.300,ADS,2020-01-06,norgate_us_equities_total_return,NTCOY-202408,,,,,,successor_total_return,1,1,verified,https://www.sec.gov/Archives/edgar/data/1776967/000119312520261114/d81309d6k.htm,https://www.sec.gov/Archives/edgar/data/8868/000095010319013942/dp114335_425.htm,2020-01-03,Each AVP common share converted into 0.300 Natura and Co ADSs; each ADS represented two ordinary shares and first traded on 2020-01-06.
VGR,cash_acquisition,2024-10-07,2024-10-04,2024-10-04,cash,15.00,USD,,,,,,,,,,,15.00,fixed_cash,1,1,verified,https://www.sec.gov/Archives/edgar/data/59440/000110465924106503/tm2425692d1_ex99-a5f.htm,,2024-10-07,All common shares converted into the right to receive 15.00 cash.
K,cash_acquisition,2025-12-11,2025-12-10,2025-12-10,cash,83.50,USD,,,,,,,,,,,83.50,fixed_cash,1,1,verified,https://www.sec.gov/Archives/edgar/data/55067/000119312525315130/d90636d8k.htm,https://www.sec.gov/Archives/edgar/data/55067/000119312525319185/xslSCHEDULE_13D_X01/primary_doc.xml,2025-12-11,All common shares converted into the right to receive 83.50 cash.
TWNK,cash_and_stock_acquisition,2023-11-07,2023-11-06,2023-11-06,cash_and_stock,30.00,USD,SJM,0.03002,common_stock,2023-11-07,yahoo_finance_adjusted,SJM,,,,,,cash_plus_successor_total_return,1,1,verified,https://www.sec.gov/Archives/edgar/data/91419/000119312523272302/d541499d8k.htm,,2023-11-07,Each common share received 30.00 cash plus 0.03002 SJM common shares.
SAFM,cash_acquisition,2022-07-22,2022-07-21,2022-07-21,cash,203.00,USD,,,,,,,,,,,203.00,fixed_cash,1,1,verified,https://www.sec.gov/Archives/edgar/data/812128/000119312522200042/d382821d8k.htm,,2022-07-22,All common shares converted into the right to receive 203.00 cash.
DF,bankruptcy_cancellation,2021-05-28,2021-05-28,2021-06-02,wipeout,0,USD,,,,,,,,,,,0,zero_distribution,1,1,verified,https://www.sec.gov/Archives/edgar/data/931336/000095010321005576/dp149331_8k.htm,https://document.epiq11.com/document/getdocumentbycode/?docId=3950000&projectCode=DNF&source=DM,2021-05-28,The plan canceled common stock with no distribution; later provider quotes are retained as raw observations but cannot extend the economic holding period.
LNCE,cash_acquisition,2018-03-26,2018-03-23,2018-03-23,cash,50.00,USD,,,,,,,,,,,50.00,fixed_cash,1,1,verified,https://www.sec.gov/Archives/edgar/data/16732/000095015918000131/campbells8k.htm,,2018-03-26,All common shares converted into the right to receive 50.00 cash.

