ticker,cik,company_name,override_type,applies_to,source,reason,approved_by,approved_date,notes
APSG,0000741696,Applied Signal Technology,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0000906236, which mapped to an individual filer.",user,2026-06-30,"Legacy archive-required issuer."
ARTX,0000916529,Arotech,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0000006313.",user,2026-06-30,"User supplied ARTXA; pipeline ticker is ARTX."
ATNY,0001081078,API Technologies,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0001081661.",user,2026-06-30,"Legacy archive-required issuer."
BEAV,0000861361,B/E Aerospace,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0000866370.",user,2026-06-30,"Legacy archive-required issuer."
CSRA,0001646383,CSRA,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0001650808, which mapped to an individual filer.",user,2026-06-30,"Caught by SEC CIK/company-name mismatch gate."
DRS-DEL2008,0000028630,DRS Technologies,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0000028634.",user,2026-06-30,"Applies to internal delisted ticker generated from source ticker DRS."
ESL,0000033619,Esterline Technologies,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0000033608.",user,2026-06-30,"User supplied ESLE; pipeline ticker is ESL."
GEOY,0001040570,GeoEye,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0000788626.",user,2026-06-30,"Legacy archive-required issuer."
GR,0000042542,Goodrich,verified_sec_cik_confirmed,delisted,user_verified_sec_database,"Confirmed current map is correct.",user,2026-06-30,"Standardized zero-padded CIK."
HRLY,0000047035,Herley Industries,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0000047218.",user,2026-06-30,"Legacy archive-required issuer."
HRS,0000202058,Harris Corp,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0000045319.",user,2026-06-30,"Legacy archive-required issuer."
KEYW,0001487101,KEYW Holding,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0001479426.",user,2026-06-30,"Legacy archive-required issuer."
LDSH,0000814250,Ladish,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0000057055.",user,2026-06-30,"Legacy archive-required issuer."
LLAP,0001835512,Terran Orbital,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0001879903, which mapped to an individual insider.",user,2026-06-30,"Legacy/archive-required calibration row."
MANT,0000892537,ManTech International,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0001156295.",user,2026-06-30,"Legacy archive-required issuer."
ORB,0000820736,Orbital Sciences,verified_sec_cik_confirmed,delisted,user_verified_sec_database,"Confirmed current map is correct.",user,2026-06-30,"Valid legacy issuer endpoint."
ORBC,0001361983,ORBCOMM,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0001361956.",user,2026-06-30,"Legacy archive-required issuer."
PAE,0001720821,PAE Inc,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0001758254.",user,2026-06-30,"Legacy archive-required issuer."
RTI,0001068717,RTI International Metals,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0001043325.",user,2026-06-30,"Legacy archive-required issuer."
RTN,0001047122,Raytheon Company,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0001047124.",user,2026-06-30,"Legacy archive-required issuer."
STST,0000026537,Argon ST,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0001293674.",user,2026-06-30,"Historically traded as STST/STS."
VORB,0001843388,Virgin Orbit,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0001831804.",user,2026-06-30,"Legacy/archive-required calibration row."
WAIR,0001378718,Wesco Aircraft,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0001517735.",user,2026-06-30,"Legacy archive-required issuer."
XLS,0001524471,Exelis,verified_sec_cik_correction,delisted,user_verified_sec_database,"Corrected from corrupted CIK 0001516104.",user,2026-06-30,"Legacy archive-required issuer."
