ticker,first_eligible_date,last_eligible_date,eligibility_basis,source,confidence,notes
ACHR,2020-12-18,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2020-12-18; prior_membership_start=2010-01-01; prior_membership_end=
AIR,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
AIRI,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
AIRO,2025-06-13,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2025-06-13; prior_membership_start=2010-01-01; prior_membership_end=
ARXS,2026-04-16,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2026-04-16; prior_membership_start=2010-01-01; prior_membership_end=
ATI,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
ATRO,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
AVAV,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
AVEX,2026-04-17,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2026-04-17; prior_membership_start=2010-01-01; prior_membership_end=
AXON,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
BA,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
BAH,2010-11-18,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-11-18; prior_membership_start=2010-01-01; prior_membership_end=
BBAI,2021-04-05,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2021-04-05; prior_membership_start=2010-01-01; prior_membership_end=
BETA,2025-11-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2025-11-04; prior_membership_start=2010-01-01; prior_membership_end=
BKSY,2019-12-20,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2019-12-20; prior_membership_start=2010-01-01; prior_membership_end=
BWXT,2010-08-02,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-08-02; prior_membership_start=2010-01-01; prior_membership_end=
BYRN,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
CACI,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
CAE,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
CDRE,2021-11-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2021-11-04; prior_membership_start=2010-01-01; prior_membership_end=
CODA,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
CRS,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
CVU,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
CW,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
DCO,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
DPC,2026-06-25,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2026-06-25; prior_membership_start=2010-01-01; prior_membership_end=
DRS,2022-11-21,,manual_ticker_reuse_override,loaded_price_history_and_reviewed_overrides,0.95,Leonardo DRS active ticker; pre-2022 DRS price history belongs to a prior/reused symbol and must be excluded from PIT panels. first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
DUKR,2021-01-08,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2021-01-08; prior_membership_start=2010-01-01; prior_membership_end=
ELMT,2026-04-23,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2026-04-23; prior_membership_start=2010-01-01; prior_membership_end=
EMBJ,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
ESLT,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
EVEX,2022-05-10,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2022-05-10; prior_membership_start=2010-01-01; prior_membership_end=
EVTL,2020-11-02,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2020-11-02; prior_membership_start=2010-01-01; prior_membership_end=
FJET,2025-12-18,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2025-12-18; prior_membership_start=2010-01-01; prior_membership_end=
FLY,2025-08-07,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2025-08-07; prior_membership_start=2010-01-01; prior_membership_end=
FTAI,2015-05-14,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2015-05-14; prior_membership_start=2010-01-01; prior_membership_end=
GD,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
GE,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
HAWK,2026-05-07,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2026-05-07; prior_membership_start=2010-01-01; prior_membership_end=
HEI,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
HEI-A,2010-01-04,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2010-01-04; prior_membership_start=2010-01-01; prior_membership_end=
HII,2011-03-22,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2011-03-22; prior_membership_start=2010-01-01; prior_membership_end=
HONAV,2026-06-15,,first_loaded_price_date,loaded_price_history_and_reviewed_overrides,0.70,first_loaded_price=2026-06-15; prior_membership_start=2010-01-01; prior_membership_end=
