ticker,investability_status,company_name,cik,exchange,sector,industry,subsector,defense_calibration_cohort,country,currency,security_type,listing_status,is_primary_listing
HWM,investable,Howmet Aerospace Inc.,4281,NYSE,Industrials,Aerospace & Defense,Defense,aerospace_components_materials_and_mro,United States,USD,Common Stock,active,TRUE
TDG,investable,TransDigm Group Incorporated,1260221,NYSE,Industrials,Aerospace & Defense,Defense,aerospace_components_materials_and_mro,United States,USD,Common Stock,active,TRUE
HEI,investable,HEICO Corporation,46619,NYSE,Industrials,Aerospace & Defense,Defense,aerospace_components_materials_and_mro,United States,USD,Common Stock,active,TRUE
HEI-A,investable,HEICO Corporation,46619,NYSE,Industrials,Aerospace & Defense,Defense,aerospace_components_materials_and_mro,United States,USD,Common Stock,active,FALSE
FTAI,investable,FTAI Aviation Ltd.,1590364,Nasdaq,Industrials,Aerospace & Defense,Defense,aerospace_components_materials_and_mro,United States,USD,Common Stock,active,TRUE
WWD,investable,"Woodward, Inc.",108312,Nasdaq,Industrials,Aerospace & Defense,Defense,aerospace_components_materials_and_mro,United States,USD,Common Stock,active,TRUE
ARXS,investable,"Arxis, Inc.",2093536,Nasdaq,Industrials,Aerospace & Defense,Defense,aerospace_components_materials_and_mro,United States,USD,Common Stock,active,TRUE
MOG-A,investable,Moog Inc.,67887,NYSE,Industrials,Aerospace & Defense,Defense,aerospace_components_materials_and_mro,United States,USD,Common Stock,active,TRUE
MOG-B,investable,Moog Inc.,67887,NYSE,Industrials,Aerospace & Defense,Defense,aerospace_components_materials_and_mro,United States,USD,Common Stock,active,FALSE
SARO,investable,"StandardAero, Inc.",2025410,NYSE,Industrials,Aerospace & Defense,Defense,aerospace_components_materials_and_mro,United States,USD,Common Stock,active,TRUE
LOAR,investable,Loar Holdings Inc.,2000178,NYSE,Industrials,Aerospace & Defense,Defense,aerospace_components_materials_and_mro,United States,USD,Common Stock,active,TRUE
HXL,investable,Hexcel Corporation,717605,NYSE,Industrials,Aerospace & Defense,Defense,aerospace_components_materials_and_mro,United States,USD,Common Stock,active,TRUE
DPC,investable,DPC Holdings Limited,2107018,NYSE,Industrials,Aerospace & Defense,Defense,aerospace_components_materials_and_mro,United States,USD,Ordinary Shares,active,TRUE
MRCY,investable,"Mercury Systems, Inc.",1049521,Nasdaq,Industrials,Aerospace & Defense,Defense,aerospace_components_materials_and_mro,United States,USD,Common Stock,active,TRUE
VSEC,investable,VSE Corporation,102752,Nasdaq,Industrials,Aerospace & Defense,Defense,aerospace_components_materials_and_mro,United States,USD,Common Stock,active,TRUE
KRMN,investable,Karman Holdings Inc.,2040127,NYSE,Industrials,Aerospace & Defense,Defense,aerospace_components_materials_and_mro,United States,USD,Common Stock,active,TRUE
AIR,investable,AAR Corp.,1750,NYSE,Industrials,Aerospace & Defense,Defense,aerospace_components_materials_and_mro,United States,USD,Common Stock,active,TRUE
ATRO,investable,Astronics Corporation,8063,Nasdaq,Industrials,Aerospace & Defense,Defense,aerospace_components_materials_and_mro,United States,USD,Common Stock,active,TRUE
