ticker,first_eligible_date,last_eligible_date,eligibility_basis,source,confidence,notes
AAON,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=AAON
AEBI,2025-07-01,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=AEBI
AGCO,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=AGCO
AIRJ,2022-02-01,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=AIRJ
AIT,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=AIT
ALG,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ALG
ALSN,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ALSN
AME,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=AME
AMSC,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=AMSC
AOS,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=AOS
ASTE,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ASTE
ATKR,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ATKR
ATS,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ATS
AYI,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=AYI
BE,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=BE
BLBD,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=BLBD
BLDP,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=BLDP
BW,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=BW
BWEN,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=BWEN
CARR,2020-03-19,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CARR
CAT,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CAT
CMCO,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CMCO
CMI,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CMI
CNH,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CNH
CR,2023-03-29,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CR
CSW,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CSW
CXT,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CXT
DCI,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=DCI
DDD,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=DDD
DE,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=DE
DOV,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=DOV
EMR,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=EMR
ENOV,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ENOV
ENS,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ENS
EOSE,2020-06-03,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=EOSE
EPAC,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=EPAC
ETN,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ETN
FCEL,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=FCEL
FELE,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=FELE
FISN,2026-06-18,,analyst_verified_first_trading_date,sec_edgar_and_norgate_audit,1.00,SEC 8-K confirms Nasdaq trading began 2026-06-18; norgate_symbol=FISN
FLS,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=FLS
FSS,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=FSS
GEV,2024-03-27,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=GEV
GGG,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=GGG
GHM,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=GHM
GNRC,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=GNRC
GRC,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=GRC
GTES,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=GTES
GTLS,2019-01-02,2026-07-16,sec_merger_delisting_date,https://www.sec.gov/Archives/edgar/data/892553/000119312526305482/d10289d8k.htm,0.95,norgate_symbol=GTLS; SEC Form 8-K confirms acquisition completion and delisting
HLIO,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=HLIO
HUBB,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=HUBB
HY,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=HY
IEX,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=IEX
INIO,2026-06-04,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=INIO
IR,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=IR
ITT,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ITT
ITW,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ITW
JBTM,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=JBTM
JCI,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=JCI
KAI,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=KAI
KRNT,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=KRNT
LASE,2022-09-30,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=LASE
LEU,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=LEU
LII,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=LII
LNN,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=LNN
LXFR,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=LXFR
MAIR,2026-04-16,,analyst_verified_first_trading_date,sec_edgar_and_norgate_audit,1.00,No eligibility before SEC IPO pricing on 2026-04-15; Norgate first quote 2026-04-16; norgate_symbol=MAIR
MIDD,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=MIDD
MIR,2020-08-20,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=MIR
MLI,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=MLI
MOD,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=MOD
MTW,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=MTW
MWA,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=MWA
NDSN,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=NDSN
NNE,2024-05-08,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=NNE
NPO,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=NPO
NPWR,2021-08-06,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=NPWR
NVT,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=NVT
OKLO,2021-07-08,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=OKLO
OSK,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=OSK
OTIS,2020-03-19,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=OTIS
OUST,2020-10-09,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=OUST
PCAR,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=PCAR
PH,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=PH
PKOH,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=PKOH
PLUG,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=PLUG
PNR,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=PNR
POWL,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=POWL
PSIX,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=PSIX
ROK,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ROK
ROP,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ROP
RRX,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=RRX
SERV,2024-03-07,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SERV
SHMD,2021-12-13,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SHMD
SMR,2020-12-09,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SMR
SNA,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SNA
SPXC,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SPXC
SSYS,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SSYS
SWK,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SWK
SXI,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SXI
SYM,2021-03-09,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SYM
TEX,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=TEX
TNC,2019-01-02,,norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=TNC
