ticker,investability_status,company_name,cik,exchange,sector,industry,subsector,country,currency,security_type,listing_status,is_primary_listing,calibration_cohort
CAT,investable,Caterpillar Inc.,18230,NYSE,Industrials,Farm & Heavy Construction Machinery,Machinery,United States,USD,Common Stock,active,TRUE,construction_agriculture_and_heavy_machinery
DE,investable,Deere & Company,315189,NYSE,Industrials,Farm & Heavy Construction Machinery,Machinery,United States,USD,Common Stock,active,TRUE,construction_agriculture_and_heavy_machinery
CMI,investable,Cummins Inc.,26172,NYSE,Industrials,Specialty Industrial Machinery,Machinery,United States,USD,Common Stock,active,TRUE,construction_agriculture_and_heavy_machinery
PCAR,investable,PACCAR Inc,75362,Nasdaq,Industrials,Farm & Heavy Construction Machinery,Machinery,United States,USD,Common Stock,active,TRUE,construction_agriculture_and_heavy_machinery
CNH,investable,CNH Industrial N.V.,1567094,NYSE,Industrials,Farm & Heavy Construction Machinery,Machinery,United States,USD,Common Stock,active,TRUE,construction_agriculture_and_heavy_machinery
OSK,investable,Oshkosh Corporation,775158,NYSE,Industrials,Farm & Heavy Construction Machinery,Machinery,United States,USD,Common Stock,active,TRUE,construction_agriculture_and_heavy_machinery
AGCO,investable,AGCO Corporation,880266,NYSE,Industrials,Farm & Heavy Construction Machinery,Machinery,United States,USD,Common Stock,active,TRUE,construction_agriculture_and_heavy_machinery
TEX,investable,Terex Corporation,97216,NYSE,Industrials,Farm & Heavy Construction Machinery,Machinery,United States,USD,Common Stock,active,TRUE,construction_agriculture_and_heavy_machinery
FSS,investable,Federal Signal Corporation,277509,NYSE,Industrials,Farm & Heavy Construction Machinery,Machinery,United States,USD,Common Stock,active,TRUE,construction_agriculture_and_heavy_machinery
BLBD,investable,Blue Bird Corporation,1589526,Nasdaq,Industrials,Farm & Heavy Construction Machinery,Machinery,United States,USD,Common Stock,active,TRUE,construction_agriculture_and_heavy_machinery
ALG,investable,Alamo Group Inc.,897077,NYSE,Industrials,Farm & Heavy Construction Machinery,Machinery,United States,USD,Common Stock,active,TRUE,construction_agriculture_and_heavy_machinery
ASTE,investable,"Astec Industries, Inc.",792987,Nasdaq,Industrials,Farm & Heavy Construction Machinery,Machinery,United States,USD,Common Stock,active,TRUE,construction_agriculture_and_heavy_machinery
LNN,investable,Lindsay Corporation,836157,NYSE,Industrials,Farm & Heavy Construction Machinery,Machinery,United States,USD,Common Stock,active,TRUE,construction_agriculture_and_heavy_machinery
AEBI,investable,Aebi Schmidt Holding AG,2048519,Nasdaq,Industrials,Farm & Heavy Construction Machinery,Machinery,United States,USD,Common Stock,active,TRUE,construction_agriculture_and_heavy_machinery
HY,investable,"Hyster-Yale, Inc.",1173514,NYSE,Industrials,Farm & Heavy Construction Machinery,Machinery,United States,USD,Common Stock,active,TRUE,construction_agriculture_and_heavy_machinery
