manifest_version,ticker,cik,accession_number,form_type,filing_date,candidate_type,decision,selection_rule,submissions_items,index_status,index_event_match,selected_document_count,reason
transportation_dp3_source_census_v1,AAL,0000006201,0000006201-18-000009,10-K,2018-02-21,base_periodic,INCLUDE,base_periodic,,MISSING,0,1,"matches historical 3,019-accession eligibility contract"
transportation_dp3_source_census_v1,AAL,0000006201,0000006201-18-000016,10-Q,2018-04-26,base_periodic,INCLUDE,base_periodic,,MISSING,0,1,"matches historical 3,019-accession eligibility contract"
transportation_dp3_source_census_v1,AAL,0000006201,0000006201-18-000027,10-Q,2018-07-26,base_periodic,INCLUDE,base_periodic,,MISSING,0,1,"matches historical 3,019-accession eligibility contract"
transportation_dp3_source_census_v1,AAL,0000006201,0000006201-18-000039,10-Q,2018-10-25,base_periodic,INCLUDE,base_periodic,,MISSING,0,1,"matches historical 3,019-accession eligibility contract"
transportation_dp3_source_census_v1,AAL,0000006201,0000006201-19-000009,10-K,2019-02-25,base_periodic,INCLUDE,base_periodic,,MISSING,0,1,"matches historical 3,019-accession eligibility contract"
transportation_dp3_source_census_v1,AAL,0000006201,0000006201-19-000023,10-Q,2019-04-26,base_periodic,INCLUDE,base_periodic,,MISSING,0,1,"matches historical 3,019-accession eligibility contract"
transportation_dp3_source_census_v1,AAL,0000006201,0000006201-19-000053,10-Q,2019-07-25,base_periodic,INCLUDE,base_periodic,,MISSING,0,1,"matches historical 3,019-accession eligibility contract"
transportation_dp3_source_census_v1,AAL,0000006201,0000006201-19-000067,10-Q,2019-10-24,base_periodic,INCLUDE,base_periodic,,MISSING,0,1,"matches historical 3,019-accession eligibility contract"
transportation_dp3_source_census_v1,AAL,0000006201,0000006201-20-000023,10-K,2020-02-19,base_periodic,INCLUDE,base_periodic,,MISSING,0,1,"matches historical 3,019-accession eligibility contract"
transportation_dp3_source_census_v1,AAL,0000006201,0000006201-20-000066,10-Q,2020-04-30,base_periodic,INCLUDE,base_periodic,,MISSING,0,1,"matches historical 3,019-accession eligibility contract"
transportation_dp3_source_census_v1,AAL,0000006201,0000006201-20-000089,10-Q,2020-07-23,base_periodic,INCLUDE,base_periodic,,MISSING,0,1,"matches historical 3,019-accession eligibility contract"
