contract_version,cohort,metric_id,derivation_id,applicable_tickers,segment_aliases,numerator_aliases,denominator_aliases,alternate_numerator_aliases,formula,unit_contract,definition_basis,comparability_class
transportation_derivations_v1,surface,freight_weight_per_shipment,ltl_weight_from_daily_operands,ODFL|TFII,LTL|less-than-truckload,pounds per day|LTL pounds per day,shipments per day|LTL shipments per day,,numerator/denominator,weight_per_shipment,pounds_per_day_over_shipments_per_day,exact_ltl
transportation_derivations_v1,surface,operating_ratio,jbht_segment_operating_ratio,JBHT,JBI|Intermodal|JBT|Truckload,operating expenses|segment operating expenses,operating revenue|segment revenue,operating income|segment operating income,numerator/denominator_or_1-alternate/denominator,ratio,named_segment_operating_ratio,exact_named_segment
transportation_derivations_v1,surface,operating_ratio,hubg_segment_operating_ratio,HUBG,Intermodal and Transportation Solutions|Intermodal,operating expenses|segment operating expenses,operating revenue|segment revenue,operating income|segment operating income,numerator/denominator_or_1-alternate/denominator,ratio,named_segment_operating_ratio,exact_named_segment
transportation_derivations_v1,surface,operating_ratio,knx_segment_operating_ratio,KNX,Truckload|LTL,operating expenses|segment operating expenses,operating revenue|segment revenue,operating income|segment operating income,numerator/denominator_or_1-alternate/denominator,ratio,named_segment_operating_ratio,exact_named_segment
transportation_derivations_v1,surface,operating_ratio,sndr_segment_operating_ratio,SNDR,Truckload,operating expenses|segment operating expenses,operating revenue|segment revenue,operating income|segment operating income,numerator/denominator_or_1-alternate/denominator,ratio,named_segment_operating_ratio,exact_named_segment
transportation_derivations_v1,surface,operating_ratio,cvlg_segment_operating_ratio,CVLG,Freight Transportation|Managed Freight,operating expenses|segment operating expenses,operating revenue|segment revenue,operating income|segment operating income,numerator/denominator_or_1-alternate/denominator,ratio,named_segment_operating_ratio,exact_named_segment
transportation_derivations_v1,surface,operating_ratio,htld_segment_operating_ratio,HTLD,Truckload,operating expenses|segment operating expenses,operating revenue|segment revenue,operating income|segment operating income,numerator/denominator_or_1-alternate/denominator,ratio,named_segment_operating_ratio,exact_named_segment
transportation_derivations_v1,surface,operating_ratio,mrtn_segment_operating_ratio,MRTN,Truckload,operating expenses|segment operating expenses,operating revenue|segment revenue,operating income|segment operating income,numerator/denominator_or_1-alternate/denominator,ratio,named_segment_operating_ratio,exact_named_segment
transportation_derivations_v1,surface,operating_ratio,wern_segment_operating_ratio,WERN,Truckload Transportation Services|TTS,operating expenses|segment operating expenses,operating revenue|segment revenue,operating income|segment operating income,numerator/denominator_or_1-alternate/denominator,ratio,named_segment_operating_ratio,exact_named_segment
transportation_derivations_v1,surface,purchased_transportation_ratio,exact_purchased_transportation_ratio,CHRW|FWRD,Transportation|Logistics,purchased transportation|purchased transportation expense|purchased transportation costs,total revenue|segment revenue,,numerator/denominator,ratio,exact_purchased_transportation_over_matching_revenue,exact
transportation_derivations_v1,surface,purchased_transportation_ratio,expd_direct_transport_cost_proxy,EXPD,Airfreight services|Ocean freight and ocean services,directly related cost of transportation and other expenses,total revenue|segment revenue,,numerator/denominator,ratio,broad_direct_transportation_cost_over_matching_revenue,broad_proxy
transportation_derivations_v1,surface,purchased_transportation_ratio,hubg_transport_warehousing_proxy,HUBG,Intermodal and Transportation Solutions|Intermodal,purchased transportation and warehousing,total revenue|segment revenue,,numerator/denominator,ratio,broad_transportation_and_warehousing_over_matching_revenue,broad_proxy
transportation_derivations_v1,surface,purchased_transportation_ratio,cvlg_transport_rental_proxy,CVLG,Freight Transportation|Managed Freight,purchased transportation and revenue equipment rentals,total revenue|segment revenue,,numerator/denominator,ratio,broad_transportation_and_rentals_over_matching_revenue,broad_proxy
transportation_derivations_v1,surface,logistics_net_revenue_margin,exact_logistics_net_revenue_margin,CHRW|FWRD,Transportation|Logistics,purchased transportation|purchased transportation expense|purchased transportation costs,total revenue|segment revenue,,1-numerator/denominator,ratio,net_revenue_after_exact_purchased_transportation,exact
transportation_derivations_v1,surface,logistics_net_revenue_margin,expd_logistics_margin_proxy,EXPD,Airfreight services|Ocean freight and ocean services,directly related cost of transportation and other expenses,total revenue|segment revenue,,1-numerator/denominator,ratio,net_revenue_after_broad_direct_transport_cost,broad_proxy
transportation_derivations_v1,surface,logistics_net_revenue_margin,hubg_logistics_margin_proxy,HUBG,Intermodal and Transportation Solutions|Intermodal,purchased transportation and warehousing,total revenue|segment revenue,,1-numerator/denominator,ratio,net_revenue_after_transportation_and_warehousing,broad_proxy
