ticker,company_name,universe_role,calibration_cohort,industry,primary_archetype,applicability_tags,development_overlay,review_status,review_reason
AAI,AirTran Holdings,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Airlines
AAL,American Airlines Group Inc.,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Airlines
AAWW,Atlas Air Worldwide Holdings,delisted_usable,air_transport_and_aviation_services,Airlines,cargo_airline,cargo_airline,0,ticker_exception_reviewed,dedicated cargo airline
ABF,Airborne Inc,delisted_usable,surface_freight_and_logistics,Integrated Freight & Logistics,surface_logistics,surface_logistics,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Integrated Freight & Logistics
AER,AerCap Holdings N.V.,active,air_transport_and_aviation_services,Rental & Leasing Services,aircraft_lessor,aircraft_lessor,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Rental & Leasing Services
ALGT,Allegiant Travel Company,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Airlines
ALK,"Alaska Air Group, Inc.",active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Airlines
ARCB,ArcBest Corporation,active,surface_freight_and_logistics,Trucking,surface_trucking,surface_trucking,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Trucking
ASC,Ardmore Shipping Corporation,active,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
ASLE,AerSale Corporation,active,air_transport_and_aviation_services,Airports & Air Services,aviation_services,aviation_services,0,ticker_exception_reviewed,aviation aftermarket and asset services rather than airport operator
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",active,air_transport_and_aviation_services,Airports & Air Services,airport_operator,airport_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Airports & Air Services
ATCO,Atlas Corp (Seaspan),delisted_usable,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
ATSG,Air Transport Services Group,delisted_usable,air_transport_and_aviation_services,Airlines,cargo_airline,aviation_services|cargo_airline,0,ticker_exception_reviewed,cargo airline and aircraft services
ATXG,Addentax Group Corp.,active,development_stage_and_speculative_transport,Integrated Freight & Logistics,surface_logistics,development_all|surface_logistics,1,policy_rule_reviewed,reviewed cohort/industry rule: development_stage_and_speculative_transport / Integrated Freight & Logistics
AYR,Aircastle,delisted_usable,air_transport_and_aviation_services,Rental & Leasing Services,aircraft_lessor,aircraft_lessor,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Rental & Leasing Services
AZUL,Azul S.A.,active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Airlines
BNI,Burlington Northern Santa Fe,delisted_usable,surface_freight_and_logistics,Railroads,surface_rail_operator,surface_rail_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Railroads
CAAP,Corporación América Airports S.A.,active,air_transport_and_aviation_services,Airports & Air Services,airport_operator,airport_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Airports & Air Services
CAL,Continental Airlines,delisted_usable,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Airlines
CCEC,Capital Clean Energy Carriers Corp.,active,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
CGI,Celadon Group,delisted_usable,surface_freight_and_logistics,Trucking,surface_trucking,surface_trucking,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Trucking
CHRW,"C.H. Robinson Worldwide, Inc.",active,surface_freight_and_logistics,Integrated Freight & Logistics,surface_logistics,surface_logistics,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Integrated Freight & Logistics
CIIT,"Tianci International, Inc.",active,development_stage_and_speculative_transport,Integrated Freight & Logistics,surface_logistics,development_all|surface_logistics,1,policy_rule_reviewed,reviewed cohort/industry rule: development_stage_and_speculative_transport / Integrated Freight & Logistics
CISS,C3is Inc.,active,development_stage_and_speculative_transport,Marine Shipping,marine_operator,development_all|marine_operator,1,policy_rule_reviewed,reviewed cohort/industry rule: development_stage_and_speculative_transport / Marine Shipping
CMDB,Costamare Bulkers Holdings Limited,active,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
CMRE,Costamare Inc.,active,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
CNI,Canadian National Railway Company,active,surface_freight_and_logistics,Railroads,surface_rail_operator,surface_rail_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Railroads
CNW,Con-way,delisted_usable,surface_freight_and_logistics,Trucking,surface_trucking,surface_trucking,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Trucking
CP,Canadian Pacific Kansas City Limited,active,surface_freight_and_logistics,Railroads,surface_rail_operator,surface_rail_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Railroads
CPA,"Copa Holdings, S.A.",active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Airlines
CRGO,Freightos Limited,active,development_stage_and_speculative_transport,Integrated Freight & Logistics,surface_logistics,development_all|surface_logistics,1,policy_rule_reviewed,reviewed cohort/industry rule: development_stage_and_speculative_transport / Integrated Freight & Logistics
CSX,CSX Corporation,active,surface_freight_and_logistics,Railroads,surface_rail_operator,surface_rail_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Railroads
CTNT,Cheetah Net Supply Chain Service Inc.,active,development_stage_and_speculative_transport,Integrated Freight & Logistics,surface_logistics,development_all|surface_logistics,1,policy_rule_reviewed,reviewed cohort/industry rule: development_stage_and_speculative_transport / Integrated Freight & Logistics
CTRM,Castor Maritime Inc.,active,development_stage_and_speculative_transport,Marine Shipping,marine_operator,development_all|marine_operator,1,policy_rule_reviewed,reviewed cohort/industry rule: development_stage_and_speculative_transport / Marine Shipping
CVLG,"Covenant Logistics Group, Inc.",active,surface_freight_and_logistics,Trucking,surface_trucking,surface_trucking,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Trucking
CYRX,"Cryoport, Inc.",active,surface_freight_and_logistics,Integrated Freight & Logistics,surface_logistics,surface_logistics,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Integrated Freight & Logistics
DAC,Danaos Corporation,active,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
DAL,"Delta Air Lines, Inc.",active,air_transport_and_aviation_services,Airlines,passenger_airline,passenger_airline,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Airlines
DDMX,Dynamex,delisted_usable,surface_freight_and_logistics,Integrated Freight & Logistics,surface_logistics,surface_logistics,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Integrated Freight & Logistics
DRYS,DryShips,delisted_usable,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
DSKE,Daseke,delisted_usable,surface_freight_and_logistics,Trucking,surface_trucking,surface_trucking,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Trucking
DSX,Diana Shipping Inc.,active,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
ECHO,Echo Global Logistics,delisted_usable,surface_freight_and_logistics,Integrated Freight & Logistics,surface_logistics,surface_logistics,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Integrated Freight & Logistics
ECO,Okeanis Eco Tankers Corp.,active,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
EDRY,EuroDry Ltd.,active,development_stage_and_speculative_transport,Marine Shipping,marine_operator,development_all|marine_operator,1,policy_rule_reviewed,reviewed cohort/industry rule: development_stage_and_speculative_transport / Marine Shipping
EGL,EGL Inc (Eagle Global Logistics),delisted_usable,surface_freight_and_logistics,Integrated Freight & Logistics,surface_logistics,surface_logistics,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Integrated Freight & Logistics
EGLE,Eagle Bulk Shipping,delisted_usable,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
EHLD,Euroholdings Ltd.,active,development_stage_and_speculative_transport,Marine Shipping,marine_operator,development_all|marine_operator,1,policy_rule_reviewed,reviewed cohort/industry rule: development_stage_and_speculative_transport / Marine Shipping
ELOG,Eastern International Ltd.,active,development_stage_and_speculative_transport,Integrated Freight & Logistics,surface_logistics,development_all|surface_logistics,1,policy_rule_reviewed,reviewed cohort/industry rule: development_stage_and_speculative_transport / Integrated Freight & Logistics
ESEA,Euroseas Ltd.,active,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
EXM,Excel Maritime Carriers,delisted_usable,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
EXPD,"Expeditors International of Washington, Inc.",active,surface_freight_and_logistics,Integrated Freight & Logistics,surface_logistics,surface_logistics,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Integrated Freight & Logistics
FDX,FedEx Corporation,active,surface_freight_and_logistics,Integrated Freight & Logistics,surface_logistics,surface_logistics,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Integrated Freight & Logistics
FDXF,"FedEx Freight Holding Company, Inc.",active,surface_freight_and_logistics,Integrated Freight & Logistics,surface_logistics,surface_logistics,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Integrated Freight & Logistics
FLY,Fly Leasing,delisted_usable,air_transport_and_aviation_services,Rental & Leasing Services,aircraft_lessor,aircraft_lessor,0,policy_rule_reviewed,reviewed cohort/industry rule: air_transport_and_aviation_services / Rental & Leasing Services
FRTZ,Fritz Companies,delisted_usable,surface_freight_and_logistics,Integrated Freight & Logistics,surface_logistics,surface_logistics,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Integrated Freight & Logistics
FSTR,L.B. Foster Company,active,surface_freight_and_logistics,Railroads,surface_rail_equipment,surface_rail_equipment,0,ticker_exception_reviewed,rail infrastructure and equipment supplier rather than railroad operator
FTAI,FTAI Aviation Ltd.,active,air_transport_and_aviation_services,Rental & Leasing Services,aircraft_lessor,aircraft_lessor|aviation_services,0,ticker_exception_reviewed,aviation leasing and engine aftermarket economics
FWRD,Forward Air Corporation,active,surface_freight_and_logistics,Integrated Freight & Logistics,surface_logistics,surface_logistics,0,policy_rule_reviewed,reviewed cohort/industry rule: surface_freight_and_logistics / Integrated Freight & Logistics
GASS,StealthGas Inc.,active,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
GATX,GATX Corporation,active,surface_freight_and_logistics,Rental & Leasing Services,surface_asset_leasing,surface_asset_leasing|surface_rail_equipment,0,ticker_exception_reviewed,railcar leasing fleet
GBX,"The Greenbrier Companies, Inc.",active,surface_freight_and_logistics,Railroads,surface_rail_equipment,surface_asset_leasing|surface_rail_equipment,0,ticker_exception_reviewed,railcar manufacturing and leasing rather than railroad operation
GLBS,Globus Maritime Limited,active,development_stage_and_speculative_transport,Marine Shipping,marine_operator,development_all|marine_operator,1,policy_rule_reviewed,reviewed cohort/industry rule: development_stage_and_speculative_transport / Marine Shipping
GLOG,GasLog Ltd,delisted_usable,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
GLOP,GasLog Partners,delisted_usable,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
GMLP,Golar LNG Partners,delisted_usable,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
GNK,Genco Shipping & Trading Limited,active,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
GNRT,Gener8 Maritime,delisted_usable,marine_shipping_and_maritime,Marine Shipping,marine_operator,marine_operator,0,policy_rule_reviewed,reviewed cohort/industry rule: marine_shipping_and_maritime / Marine Shipping
