metric_id,metric_pack,source_lane,component,applicability_tags,unit_contract,period_type,max_staleness_days,scoring_posture,comparison_population,bounds_policy,formula,discovery_status
surface_volume_growth,surface,DP-D,growth,surface_rail_operator|surface_trucking|surface_logistics,ratio,fiscal_period,550,positive,within_issuer_native_volume,growth_ratio,select_best_accepted_native_volume_growth,coverage_pending
rail_carload_growth,surface,DP,growth,surface_rail_operator,ratio,fiscal_period,550,positive,surface_rail_operator,growth_ratio,,coverage_pending
rail_intermodal_volume_growth,surface,DP,growth,surface_rail_operator|surface_logistics,ratio,fiscal_period,550,positive,matching_unit_and_archetype,growth_ratio,,coverage_pending
revenue_ton_miles_growth,surface,DP,growth,surface_rail_operator,ratio,fiscal_period,550,positive,surface_rail_operator,growth_ratio,,coverage_pending
shipment_or_load_growth,surface,DP,growth,surface_trucking|surface_logistics,ratio,fiscal_period,550,positive,matching_unit_and_archetype,growth_ratio,,coverage_pending
pricing_or_yield_growth,surface,DP,operating_efficiency,surface_rail_operator|surface_trucking|surface_logistics|surface_asset_leasing,ratio,fiscal_period,550,positive,matching_unit_and_archetype,growth_ratio,,coverage_pending
revenue_per_shipment_or_load,surface,DP,operating_efficiency,surface_trucking|surface_logistics,currency_per_unit,fiscal_period,550,positive,matching_unit_currency_and_archetype,nonnegative,,coverage_pending
revenue_per_tractor_or_power_unit,surface,DP,operating_efficiency,surface_trucking,currency_per_asset_period,fiscal_period,550,positive,surface_trucking,nonnegative,,coverage_pending
operating_ratio,surface,DP,operating_efficiency,surface_rail_operator|surface_trucking,ratio,fiscal_period,550,negative,matching_definition_and_archetype,ratio_0_3,,coverage_pending
purchased_transportation_ratio,surface,DP,operating_efficiency,surface_trucking|surface_logistics,ratio,fiscal_period,550,context,matching_business_model,ratio_0_1,,coverage_pending
fuel_surcharge_revenue_ratio,surface,DP,operating_efficiency,surface_rail_operator|surface_trucking|surface_logistics,ratio,fiscal_period,550,context,matching_business_model,ratio_0_1,,coverage_pending
empty_mile_ratio,surface,DP,operating_efficiency,surface_trucking,ratio,fiscal_period,550,negative,surface_trucking,ratio_0_1,,coverage_pending
equipment_utilization,surface,DP,operating_efficiency,surface_trucking|surface_asset_leasing|surface_rail_equipment,ratio_or_days,fiscal_period,550,positive,matching_unit_and_archetype,nonnegative,,coverage_pending
fleet_or_equipment_count,surface,DP,growth,surface_rail_operator|surface_trucking|surface_asset_leasing|surface_rail_equipment,count,point_in_time,550,context,within_issuer_asset_class,nonnegative_integer,,coverage_pending
service_reliability_rate,surface,DP,quality,surface_rail_operator|surface_trucking|surface_logistics,ratio,fiscal_period,550,positive,matching_definition_and_archetype,ratio_0_1,,coverage_pending
rail_network_velocity,surface,DP,operating_efficiency,surface_rail_operator,distance_per_time,fiscal_period,550,positive,matching_unit_and_rail_network,nonnegative,,coverage_pending
terminal_dwell_time,surface,DP,operating_efficiency,surface_rail_operator,hours,fiscal_period,550,negative,matching_rail_network,nonnegative,,coverage_pending
freight_weight_per_shipment,surface,DP,operating_efficiency,surface_trucking|surface_logistics,weight_per_shipment,fiscal_period,550,context,matching_unit_and_archetype,nonnegative,,coverage_pending
average_length_of_haul,surface,DP,operating_efficiency,surface_rail_operator|surface_trucking|surface_logistics,distance,fiscal_period,550,context,matching_mode_and_unit,nonnegative,,coverage_pending
driver_turnover_rate,surface,DP,capital_risk,surface_trucking,ratio,fiscal_period,550,negative,matching_driver_population,ratio_0_5,,coverage_pending
surface_lease_yield,surface,DP,operating_efficiency,surface_asset_leasing|surface_rail_equipment,ratio,fiscal_period,550,positive,matching_asset_class,ratio_0_2,,coverage_pending
surface_asset_age,surface,DP,capital_risk,surface_asset_leasing|surface_rail_equipment|surface_trucking,years,point_in_time,550,negative,matching_asset_class,years_0_100,,coverage_pending
rail_fuel_efficiency,surface,DP,operating_efficiency,surface_rail_operator,fuel_per_gross_ton_mile,fiscal_period,550,negative,matching_unit_and_rail_network,nonnegative,,coverage_pending
insurance_claims_cost_ratio,surface,DP,capital_risk,surface_trucking|surface_logistics,ratio,fiscal_period,550,negative,matching_claims_definition,ratio_0_3,,coverage_pending
logistics_net_revenue_margin,surface,DP,quality,surface_logistics,ratio,fiscal_period,550,positive,matching_net_revenue_definition,ratio_0_1,,coverage_pending
traffic_growth,air,DP,growth,passenger_airline|cargo_airline,ratio,fiscal_period,550,positive,matching_traffic_unit_and_airline_type,growth_ratio,,coverage_pending
capacity_growth,air,DP,growth,passenger_airline|cargo_airline,ratio,fiscal_period,550,context,matching_capacity_unit_and_airline_type,growth_ratio,,coverage_pending
passenger_load_factor,air,DP,operating_efficiency,passenger_airline,ratio,fiscal_period,550,positive,passenger_airline,ratio_0_1,,coverage_pending
passenger_yield,air,DP,operating_efficiency,passenger_airline,currency_per_passenger_distance,fiscal_period,550,positive,matching_currency_and_distance_unit,nonnegative,,coverage_pending
passenger_revenue_per_capacity_unit,air,DP,operating_efficiency,passenger_airline,currency_per_capacity_unit,fiscal_period,550,positive,matching_currency_and_capacity_unit,nonnegative,,coverage_pending
total_revenue_per_capacity_unit,air,DP,operating_efficiency,passenger_airline,currency_per_capacity_unit,fiscal_period,550,positive,matching_currency_and_capacity_unit,nonnegative,,coverage_pending
unit_cost,air,DP,operating_efficiency,passenger_airline,currency_per_capacity_unit,fiscal_period,550,negative,matching_currency_and_capacity_unit,nonnegative,,coverage_pending
unit_cost_ex_fuel,air,DP,operating_efficiency,passenger_airline,currency_per_capacity_unit,fiscal_period,550,negative,matching_adjustment_and_capacity_unit,nonnegative,,coverage_pending
fuel_price_per_gallon,air,DP,capital_risk,passenger_airline,currency_per_gallon,fiscal_period,550,negative,matching_hedging_treatment,nonnegative,,coverage_pending
fuel_efficiency_per_capacity_unit,air,DP-D,operating_efficiency,passenger_airline,fuel_per_capacity_unit,fiscal_period,550,negative,matching_capacity_unit,nonnegative,fuel_consumed_divided_by_capacity,coverage_pending
fuel_cost_per_capacity_unit,air,DP-D,capital_risk,passenger_airline,currency_per_capacity_unit,fiscal_period,550,negative,matching_currency_and_capacity_unit,nonnegative,fuel_expense_divided_by_capacity,coverage_pending
aircraft_utilization_hours,air,DP,operating_efficiency,passenger_airline|cargo_airline|aircraft_lessor,hours_per_aircraft_day,fiscal_period,550,positive,matching_airline_or_lessor_population,nonnegative,,coverage_pending
ancillary_revenue_per_passenger,air,DP,operating_efficiency,passenger_airline,currency_per_passenger,fiscal_period,550,positive,matching_currency_and_definition,nonnegative,,coverage_pending
passenger_throughput_growth,air,DP,growth,airport_operator,ratio,fiscal_period,550,positive,matching_airport_scope,growth_ratio,,coverage_pending
cargo_throughput_growth,air,DP,growth,airport_operator,ratio,fiscal_period,550,positive,matching_cargo_unit_and_airport_scope,growth_ratio,,coverage_pending
aircraft_movements_growth,air,DP,growth,airport_operator,ratio,fiscal_period,550,positive,matching_airport_scope,growth_ratio,,coverage_pending
aeronautical_revenue_per_passenger,air,DP-D,operating_efficiency,airport_operator,currency_per_passenger,fiscal_period,550,positive,matching_currency_and_airport_scope,nonnegative,aeronautical_revenue_divided_by_passengers,coverage_pending
non_aeronautical_revenue_per_passenger,air,DP-D,operating_efficiency,airport_operator,currency_per_passenger,fiscal_period,550,positive,matching_currency_and_airport_scope,nonnegative,non_aeronautical_revenue_divided_by_passengers,coverage_pending
lease_utilization,air,DP,operating_efficiency,aircraft_lessor,ratio,fiscal_period,550,positive,aircraft_lessor,ratio_0_1,,coverage_pending
lease_rate_factor,air,DP,operating_efficiency,aircraft_lessor,ratio,fiscal_period,550,positive,matching_aircraft_value_definition,ratio_0_2,,coverage_pending
lease_collection_rate,air,DP,quality,aircraft_lessor,ratio,fiscal_period,550,positive,matching_rent_due_definition,ratio_0_2,,coverage_pending
weighted_average_lease_term_remaining,air,DP,quality,aircraft_lessor,years,point_in_time,550,context,aircraft_lessor,years_0_100,,coverage_pending
owned_or_managed_aircraft_count,air,DP,growth,aircraft_lessor|aviation_services,count,point_in_time,550,context,within_issuer_ownership_class,nonnegative_integer,,coverage_pending
aircraft_fleet_age,air,DP,capital_risk,passenger_airline|cargo_airline|aircraft_lessor,years,point_in_time,550,negative,matching_owned_or_leased_scope,years_0_100,,coverage_pending
maintenance_service_event_growth,air,DP,growth,aviation_services,ratio,fiscal_period,550,positive,matching_service_event_unit,growth_ratio,,coverage_pending
aviation_maintenance_intensity,air,DP,capital_risk,passenger_airline|cargo_airline|aircraft_lessor|aviation_services,ratio,fiscal_period,550,context,matching_maintenance_subtype,ratio_0_5,,coverage_pending
contracted_aviation_backlog,air,DP,quality,aviation_services|aircraft_lessor,currency_or_service_units,point_in_time,550,positive,matching_unit_and_service_type,nonnegative,,coverage_pending
completion_factor,air,DP,quality,passenger_airline|cargo_airline,ratio,fiscal_period,550,positive,matching_airline_type,ratio_0_1,,coverage_pending
on_time_performance,air,DP,quality,passenger_airline|cargo_airline,ratio,fiscal_period,550,positive,matching_threshold_and_airline_type,ratio_0_1,,coverage_pending
