ticker,annual_form,accounting_framework,domicile_profile
CNI,40-F,US_GAAP,canadian_foreign_private_issuer
CP,40-F,US_GAAP,canadian_foreign_private_issuer
CSX,10-K,US_GAAP,us_domestic
NSC,10-K,US_GAAP,us_domestic
UNP,10-K,US_GAAP,us_domestic
ARCB,10-K,US_GAAP,us_domestic
ODFL,10-K,US_GAAP,us_domestic
SAIA,10-K,US_GAAP,us_domestic
XPO,10-K,US_GAAP,us_domestic
HUBG,10-K,US_GAAP,us_domestic
JBHT,10-K,US_GAAP,us_domestic
KNX,10-K,US_GAAP,us_domestic
SNDR,10-K,US_GAAP,us_domestic
TFII,40-F,IFRS,canadian_foreign_private_issuer
CHRW,10-K,US_GAAP,us_domestic
EXPD,10-K,US_GAAP,us_domestic
FDX,10-K,US_GAAP,us_domestic
LSTR,10-K,US_GAAP,us_domestic
UPS,10-K,US_GAAP,us_domestic
