"metric_id","source_sections_10k","source_sections_foreign","source_sections_event","expected_tables","parser_aliases","applicable_tickers","source_posture"
"operating_ratio","Item 7|Management's Discussion and Analysis","Item 5|Operating and Financial Review and Prospects|Management's Discussion and Analysis","Item 2.02|Item 7.01|Item 8.01","Operating Statistics|Operating Ratio|Railroad Performance Measures","operating ratio|adjusted operating ratio","CNI|CP|CSX|NSC|UNP|ARCB|ODFL|SAIA|XPO|HUBG|JBHT|KNX|SNDR|TFII|CHRW|EXPD|FDX|LSTR|UPS|CVLG|HTLD|MRTN|WERN|FWRD","reported_nongaap_or_derived_financial"
"purchased_transportation_ratio","Item 8|Item 7|Income Statement|Notes to Financial Statements","Item 18|Item 5|Consolidated Financial Statements|Notes to Consolidated Financial Statements","Item 2.02|Item 7.01","Purchased Transportation|Operating Expenses|Segment Results","purchased transportation|purchased transportation and related services|purchased transportation expense|purchased transportation costs|contracted services","CHRW|EXPD|LSTR|HUBG|ARCB|JBHT|KNX|SNDR|TFII|XPO|FDX|UPS|CVLG|FWRD","audited_operand_ratio_review"
"fleet_or_equipment_count","Item 2|Properties","Item 4|Property Plant and Equipment|Properties","Item 2.02|Item 7.01","Fleet Profile|Equipment|Properties|Operating Fleet","tractors|trailers|containers|chassis|railcars|locomotives|power units|operating fleet|power fleet consisted of|owned tractors|owned locomotives|freight cars owned","ODFL|SAIA|ARCB|JBHT|KNX|SNDR|HUBG|XPO|TFII|FDX|UPS|CNI|CP|CSX|NSC|UNP|CVLG|HTLD|MRTN|WERN","reported_operational_count_review"
"average_length_of_haul","Item 7|Management's Discussion and Analysis","Item 5|Operating and Financial Review and Prospects|Management's Discussion and Analysis","Item 2.02|Item 7.01","Operating Statistics|Key Performance Indicators|LTL Statistics","average length of haul|length of haul|average haul length","ODFL|SAIA|ARCB|KNX|SNDR|JBHT|TFII|CVLG|HTLD|MRTN|WERN","reported_operational_kpi_review"
"freight_weight_per_shipment","Item 7|Management's Discussion and Analysis","Item 5|Operating and Financial Review and Prospects|Management's Discussion and Analysis","Item 2.02|Item 7.01","Operating Statistics|LTL Statistics|Shipment Statistics","weight per shipment|weight per LTL shipment|pounds per shipment|average shipment weight","ODFL|SAIA|ARCB|XPO|TFII|FDX","reported_operational_kpi_review"
"revenue_per_shipment_or_load","Item 7|Management's Discussion and Analysis","Item 5|Operating and Financial Review and Prospects|Management's Discussion and Analysis","Item 2.02|Item 7.01","Operating Statistics|LTL Statistics|Truckload Statistics","revenue per shipment|revenue per load|revenue per hundredweight|revenue per cwt|yield per shipment","ODFL|SAIA|ARCB|JBHT|KNX|SNDR|HUBG|XPO|CVLG|HTLD|MRTN|WERN","reported_operational_kpi_review"
"shipment_or_load_growth","Item 7|Management's Discussion and Analysis","Item 5|Operating and Financial Review and Prospects|Management's Discussion and Analysis","Item 2.02|Item 7.01","Segment Results|Operating Statistics|Shipment Statistics","shipment growth|load growth|shipments per day|LTL shipments per workday|total LTL shipments|total shipments|total loads|load count","ODFL|SAIA|ARCB|JBHT|KNX|SNDR|HUBG|CHRW|LSTR|CVLG|HTLD|MRTN|WERN|FWRD","reported_or_derived_growth_review"
"surface_volume_growth","Item 7|Management's Discussion and Analysis","Item 5|Operating and Financial Review and Prospects|Management's Discussion and Analysis","Item 2.02|Item 7.01|Item 8.01","Traffic Statistics|Revenue Statistics|Intermodal Volume|Freight Volume","surface volume growth|revenue ton miles|revenue tonne kilometres|carloads|intermodal units|loads|shipments","CNI|CP|CSX|NSC|UNP|JBHT|HUBG","derived_from_accepted_native_volume_metric"
"pricing_or_yield_growth","Item 7|Management's Discussion and Analysis","Item 5|Operating and Financial Review and Prospects|Management's Discussion and Analysis","Item 2.02|Item 7.01","Yield|Revenue Quality|Operating Statistics|LTL Statistics","pricing growth|yield growth|gross revenue per hundredweight|LTL revenue per hundredweight|revenue per hundredweight|revenue per cwt|revenue per shipment|rate per mile","ODFL|SAIA|ARCB|XPO|FDX|UPS|KNX|SNDR|CVLG|HTLD|MRTN|WERN","reported_or_derived_growth_review"
"fuel_surcharge_revenue_ratio","Item 8|Item 7|Revenue Breakdown|Management's Discussion and Analysis","Item 18|Item 5|Revenue Breakdown|Operating and Financial Review","Item 2.02|Item 7.01","Fuel Surcharge Revenue|Revenue Breakdown|Operating Statistics","fuel surcharge revenue|fuel surcharge revenues|fuel surcharge as a percentage of revenue","ODFL|SAIA|ARCB|JBHT|KNX|SNDR|FDX|UPS|CSX|UNP|NSC|CVLG|HTLD|MRTN|WERN","reported_or_derived_ratio_review"
"logistics_net_revenue_margin","Item 7|Management's Discussion and Analysis","Item 5|Operating and Financial Review and Prospects|Management's Discussion and Analysis","Item 2.02|Item 7.01","Segment Results|Net Revenue|Adjusted Gross Profit","net revenue margin|adjusted gross profit margin|net revenue|gross profit margin","CHRW|EXPD|LSTR|HUBG|JBHT|ARCB|FWRD","reported_nongaap_review"
"rail_carload_growth","Item 7|Management's Discussion and Analysis","Item 5|Operating and Financial Review and Prospects|Management's Discussion and Analysis","Item 2.02|Item 7.01|Item 8.01","Revenue Statistics|Freight Revenues by Commodity|Carloads","carload growth|carloads|freight carloads","CNI|CP|CSX|NSC|UNP","reported_or_derived_growth_review"
"rail_intermodal_volume_growth","Item 7|Management's Discussion and Analysis","Item 5|Operating and Financial Review and Prospects|Management's Discussion and Analysis","Item 2.02|Item 7.01|Item 8.01","Intermodal Volume|Revenue Statistics|Operating Statistics","intermodal volume growth|intermodal units|intermodal shipments","CNI|CP|CSX|NSC|UNP|JBHT|HUBG","reported_or_derived_growth_review"
"revenue_ton_miles_growth","Item 7|Management's Discussion and Analysis","Item 5|Operating and Financial Review and Prospects|Management's Discussion and Analysis","Item 2.02|Item 7.01|Item 8.01","Traffic Statistics|Revenue Statistics|Operating Statistics","revenue ton miles|revenue tonne kilometres|RTM|RTMs|RTK|RTKs","CNI|CP|CSX|NSC|UNP","reported_or_derived_growth_review"
"rail_fuel_efficiency","Item 7|Management's Discussion and Analysis","Item 5|Operating and Financial Review and Prospects|Management's Discussion and Analysis","Item 2.02|Item 7.01|Item 8.01","Operating Statistics|Fuel Efficiency|Sustainability Performance","gross ton miles per gallon|GTM per gallon|gallons per thousand gross ton miles|fuel consumption rate|fuel efficiency","CNI|CP|CSX|NSC|UNP","reported_operational_kpi_review"
"rail_network_velocity","Item 7|Management's Discussion and Analysis","Item 5|Operating and Financial Review and Prospects|Management's Discussion and Analysis","Item 2.02|Item 7.01|Item 8.01|STB Weekly Railroad Performance","Weekly Railroad Performance|Network Operations|Railroad Performance Measures","train velocity|network velocity|average train speed|freight train speed","CNI|CP|CSX|NSC|UNP","voluntary_or_regulatory_kpi_review"
"terminal_dwell_time","Item 7|Management's Discussion and Analysis","Item 5|Operating and Financial Review and Prospects|Management's Discussion and Analysis","Item 2.02|Item 7.01|Item 8.01|STB Weekly Railroad Performance","Weekly Railroad Performance|Terminal Operations|Railroad Performance Measures","terminal dwell|average terminal dwell|average terminal dwell hours|dwell time|dwell hours","CNI|CP|CSX|NSC|UNP","voluntary_or_regulatory_kpi_review"
"driver_turnover_rate","Item 7|Human Capital","Item 5|Human Capital","Item 2.02|Item 7.01|Item 8.01|ESG|Sustainability","Human Capital|Safety and Workforce|ESG Performance","driver turnover|driver turnover rate|annualized driver turnover","KNX|SNDR|JBHT|ARCB|CVLG|HTLD|MRTN|WERN","voluntary_esg_kpi_review"
