ticker,metric_id,concept_name,normalized_unit,acceptance_posture
ASC,vessel_count,TotalNumberOfFleet,count,ACCEPT_IF_CONSOLIDATED_ANNUAL
DHT,vessel_count,NumberOfVessels,count,ACCEPT_IF_CONSOLIDATED_ANNUAL
ECO,vessel_count,NumberOfVessels,count,ACCEPT_IF_CONSOLIDATED_ANNUAL
FRO,vessel_count,NumberOfVesselsInFleet,count,ACCEPT_IF_CONSOLIDATED_ANNUAL
INSW,vessel_count,NumberOfVesselsInFleet,count,ACCEPT_IF_CONSOLIDATED_ANNUAL
NAT,vessel_count,TotalNumberOfVessels,count,ACCEPT_IF_CONSOLIDATED_ANNUAL
TNK,vessel_count,NumberOfVessels,count,ACCEPT_IF_CONSOLIDATED_ANNUAL
TRMD,vessel_count,NumberOfVessels,count,ACCEPT_IF_CONSOLIDATED_ANNUAL
ASC,fleet_capacity,DeadWeight,segment_native_capacity,ACCEPT_IF_CONSOLIDATED_ANNUAL
DHT,fleet_capacity,TotalCarryingCapacity,segment_native_capacity,ACCEPT_IF_CONSOLIDATED_ANNUAL
ECO,fleet_capacity,ShipDeadWeightTonnage,segment_native_capacity,ACCEPT_IF_CONSOLIDATED_ANNUAL
FRO,fleet_capacity,AggregateVesselCapacity,segment_native_capacity,ACCEPT_IF_CONSOLIDATED_ANNUAL
HAFN,fleet_capacity,VesselCapacity,segment_native_capacity,ACCEPT_IF_CONSOLIDATED_ANNUAL
NAT,fleet_capacity,DeadweightTonnage,segment_native_capacity,ACCEPT_IF_CONSOLIDATED_ANNUAL
ASC,fleet_age,AverageAgeOfVessels,years,ACCEPT_IF_CONSOLIDATED_ANNUAL
INSW,fleet_age,AverageVesselAge,years,ACCEPT_IF_CONSOLIDATED_ANNUAL
INSW,revenue_days,NumberOfRevenueDays,days,ACCEPT_IF_CONSOLIDATED_ANNUAL
TRMD,charter_coverage_next_12m,PercentageOfEarningsDaysInNextFiscalYearCoveredByCurrentContracts,ratio,ACCEPT_IF_CONSOLIDATED_ANNUAL
DHT,contracted_revenue_backlog,FutureCharterPaymentsTotal,currency,ACCEPT_IF_CONSOLIDATED_ANNUAL
ASC,contracted_revenue_backlog,RevenueRemainingPerformanceObligation,currency,ACCEPT_IF_CONSOLIDATED_ANNUAL
INSW,contracted_revenue_backlog,RevenueRemainingPerformanceObligation,currency,ACCEPT_IF_CONSOLIDATED_ANNUAL
