ticker,annual_form,accounting_framework,business_sections,mdna_sections,audited_sections
ASC,20-F,US_GAAP,Item 4,Item 5,Item 18|Consolidated Notes
HAFN,20-F,IFRS,Item 4,Item 5,Item 18|Consolidated Notes
ECO,20-F,IFRS,Item 4,Item 5,Item 18|Consolidated Notes
DHT,20-F,IFRS,Item 4,Item 5,Item 18|Consolidated Notes
FRO,20-F,IFRS,Item 4,Item 5,Item 18|Consolidated Notes
NAT,20-F,US_GAAP,Item 4,Item 5,Item 18|Consolidated Notes
STNG,20-F,US_GAAP,Item 4,Item 5,Item 18|Consolidated Notes
TRMD,20-F,IFRS,Item 4,Item 5,Item 18|Consolidated Notes
INSW,10-K,US_GAAP,Item 1,Item 7,Item 8|Consolidated Notes
TNK,20-F,US_GAAP,Item 4,Item 5,Item 18|Consolidated Notes
TEN,20-F,US_GAAP,Item 4,Item 5,Item 18|Consolidated Notes
