policy_id,policy_version,enabled,model_family,ticker,accession_number,source_document,metric_name,concept_name,candidate_value,value_tolerance,unit,period_start,period_end,decision,status_reason,scope_override,confidence_override,reviewed_by,reviewed_at,period_start_override,period_end_override,value_override
trprev_r58_0132faddfd7211b0,transportation_run58_conservative_adjudication_v1,1,transportation,AAI,0000948846-11-000018,form10-q.htm,passenger_load_factor,TransportationDiscoveryPassengerLoadFactor,0.785,0.000001,ratio,,2011-03-31,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_316328b4fdbba02f,transportation_run58_conservative_adjudication_v1,1,transportation,AAL,0000006201-24-000032,aal-20240331.htm,capacity_growth,TransportationDiscoveryCapacityGrowth,0.085,0.000001,ratio,,2024-03-31,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_800655aabc1e1c89,transportation_run58_conservative_adjudication_v1,1,transportation,AAL,0000006201-23-000018,aal-20221231.htm,passenger_load_factor,TransportationDiscoveryPassengerLoadFactor,0.8290000000000001,0.000001,ratio,,2022-12-31,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_8bb4341124803419,transportation_run58_conservative_adjudication_v1,1,transportation,AAL,0000006201-24-000010,aal-20231231.htm,passenger_load_factor,TransportationDiscoveryPassengerLoadFactor,0.835,0.000001,ratio,,2023-12-31,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_8fa1f355f8a7b42d,transportation_run58_conservative_adjudication_v1,1,transportation,ALGT,0001362468-19-000036,algt2019q2doc.htm,capacity_growth,TransportationDiscoveryCapacityGrowth,0.081,0.000001,ratio,,2019-06-30,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_e104283f032ed64e,transportation_run58_conservative_adjudication_v1,1,transportation,ALGT,0001362468-22-000028,algt-20220331.htm,passenger_load_factor,TransportationDiscoveryPassengerLoadFactor,0.789,0.000001,ratio,,2022-03-31,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_856028929ce205e5,transportation_run58_conservative_adjudication_v1,1,transportation,ALGT,0001362468-22-000067,algt-20220930.htm,passenger_load_factor,TransportationDiscoveryPassengerLoadFactor,0.885,0.000001,ratio,,2022-09-30,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_5de464eb7863775c,transportation_run58_conservative_adjudication_v1,1,transportation,ALGT,0001362468-23-000027,algt-20230331.htm,passenger_load_factor,TransportationDiscoveryPassengerLoadFactor,0.858,0.000001,ratio,,2023-03-31,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_de9529ee6d2b28b8,transportation_run58_conservative_adjudication_v1,1,transportation,ALK,0000766421-20-000071,alk-20200630.htm,passenger_load_factor,TransportationDiscoveryPassengerLoadFactor,0.384,0.000001,ratio,,2020-06-30,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_19a7d41df7bfea07,transportation_run58_conservative_adjudication_v1,1,transportation,ALK,0000766421-24-000012,alk-20231231.htm,passenger_load_factor,TransportationDiscoveryPassengerLoadFactor,0.8370000000000001,0.000001,ratio,,2023-12-31,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_446e9c265efe36a8,transportation_run58_conservative_adjudication_v1,1,transportation,ALK,0000766421-25-000017,alk-20250331.htm,passenger_load_factor,TransportationDiscoveryPassengerLoadFactor,0.813,0.000001,ratio,,2025-03-31,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_ae836d3c1e06a48f,transportation_run58_conservative_adjudication_v1,1,transportation,ALK,0000766421-25-000036,alk-20250630.htm,passenger_load_factor,TransportationDiscoveryPassengerLoadFactor,0.8390000000000001,0.000001,ratio,,2025-06-30,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_f0e1178d23681c30,transportation_run58_conservative_adjudication_v1,1,transportation,ALK,0000766421-25-000060,alk-20250930.htm,passenger_load_factor,TransportationDiscoveryPassengerLoadFactor,0.848,0.000001,ratio,,2025-09-30,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_c103c510ba3dc823,transportation_run58_conservative_adjudication_v1,1,transportation,ARCB,0001558370-20-001796,arcb-20191231x10kb051b4.htm,operating_ratio,TransportationDiscoveryOperatingRatio,0.9520000000000001,0.000001,ratio,,2019-12-31,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_941b15b2c44607c9,transportation_run58_conservative_adjudication_v1,1,transportation,ARCB,0001558370-21-002023,arcb-20201231x10k.htm,operating_ratio,TransportationDiscoveryOperatingRatio,0.953,0.000001,ratio,,2020-12-31,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_856ffab0161d12f7,transportation_run58_conservative_adjudication_v1,1,transportation,ARCB,0001558370-22-002184,arcb-20211231x10k.htm,operating_ratio,TransportationDiscoveryOperatingRatio,0.899,0.000001,ratio,,2021-12-31,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_dc43f37ea53f8099,transportation_run58_conservative_adjudication_v1,1,transportation,ARCB,0001558370-23-002053,arcb-20221231x10k.htm,operating_ratio,TransportationDiscoveryOperatingRatio,0.873,0.000001,ratio,,2022-12-31,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_0af1a8392582267e,transportation_run58_conservative_adjudication_v1,1,transportation,ARCB,0001558370-24-001622,arcb-20231231x10k.htm,operating_ratio,TransportationDiscoveryOperatingRatio,0.912,0.000001,ratio,,2023-12-31,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_508b6c0dfaca4f8f,transportation_run58_conservative_adjudication_v1,1,transportation,ARCB,0001558370-25-002037,arcb-20241231x10k.htm,operating_ratio,TransportationDiscoveryOperatingRatio,0.912,0.000001,ratio,,2024-12-31,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_4d1ec753a84f194c,transportation_run58_conservative_adjudication_v1,1,transportation,ARCB,0001104659-26-019699,arcb-20251231x10k.htm,operating_ratio,TransportationDiscoveryOperatingRatio,0.937,0.000001,ratio,,2025-12-31,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
trprev_r58_404273547aa6c007,transportation_run58_conservative_adjudication_v1,1,transportation,ASC,0001144204-18-024571,tv491345_6k.htm,tce_day_rate,TransportationDiscoveryTceDayRate,12897.0,0.000001,USD_per_day,,2018-03-31,ACCEPTED,exact_prior_accepted_disclosure_confirmation,,1.0,codex_transportation_conservative_review_v1,2026-07-27T12:00:00-05:00,,,
