ticker,company,cohort,exit_type,terminal_type,acquirer,exit_year,cik,confidence,industry
LCC,US Airways Group,air_transport_and_aviation_services,merger,acquisition,American Airlines Group (merger of equals),2013,701345,verified,Airlines
NWA,Northwest Airlines Corp,air_transport_and_aviation_services,strategic,acquisition,Delta Air Lines,2008,1058033,verified,Airlines
CAL,Continental Airlines,air_transport_and_aviation_services,merger,acquisition,United Airlines (UAL Corp),2010,319687,verified,Airlines
AAI,AirTran Holdings,air_transport_and_aviation_services,strategic,acquisition,Southwest Airlines,2011,948846,verified,Airlines
VA,Virgin America,air_transport_and_aviation_services,strategic,acquisition,Alaska Air Group,2016,1614436,verified,Airlines
HA,Hawaiian Holdings,air_transport_and_aviation_services,strategic,acquisition,Alaska Air Group,2024,1172222,verified,Airlines
SAVE,Spirit Airlines,air_transport_and_aviation_services,bankruptcy,wipeout,Chapter 11 (equity cancelled; emerged private 2025),2024,1498710,verified,Airlines
AAWW,Atlas Air Worldwide Holdings,air_transport_and_aviation_services,pe_buyout,acquisition,Apollo Global Management,2023,1135185,verified,Airlines
ATSG,Air Transport Services Group,air_transport_and_aviation_services,pe_buyout,acquisition,Stonepeak,2025,894081,verified,Airlines
AYR,Aircastle,air_transport_and_aviation_services,pe_buyout,acquisition,Marubeni / Mizuho Leasing,2020,1362988,verified,Rental & Leasing Services
FLY,Fly Leasing,air_transport_and_aviation_services,strategic,acquisition,Carlyle Aviation Partners,2021,1407298,verified,Rental & Leasing Services
PNCL,Pinnacle Airlines,air_transport_and_aviation_services,bankruptcy,wipeout,Delta Air Lines (emerged as Endeavor Air),2013,1166291,high,Airlines
RJET,Republic Airways Holdings,air_transport_and_aviation_services,bankruptcy,wipeout,Chapter 11 (creditors; emerged private 2017),2016,1159154,verified,Airlines
GNRT,Gener8 Maritime,marine_shipping_and_maritime,strategic,acquisition,Euronav,2018,1443799,high,Marine Shipping
NM,Navios Maritime Holdings,marine_shipping_and_maritime,strategic,acquisition,Navios Maritime Partners,2021,1333172,verified,Marine Shipping
NNA,Navios Maritime Acquisition,marine_shipping_and_maritime,strategic,acquisition,Navios Maritime Partners,2021,1437260,verified,Marine Shipping
DRYS,DryShips,marine_shipping_and_maritime,pe_buyout,acquisition,SPII Holdings (George Economou),2019,1308858,verified,Marine Shipping
