internal_ticker,exchange_ticker,price_source_symbol,company_name,cik,exchange,country,currency,security_type,calibration_cohort_id,calibration_cohort,start_date,end_date,eligibility_basis,membership_status,successor_ticker,event_type,confidence,source_url,notes
ASR,ASR,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",0001123452,NYSE,United States,USD,Common Stock,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
JOBY,JOBY,JOBY,"Joby Aviation, Inc.",0001819848,NYSE,United States,USD,Common Stock,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2020-11-09,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
CAAP,CAAP,CAAP,Corporación América Airports S.A.,0001717393,NYSE,United States,USD,Common Stock,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
ASLE,ASLE,ASLE,AerSale Corporation,0001754170,Nasdaq,United States,USD,Common Stock,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-02-28,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
UP,UP,UP,Wheels Up Experience Inc.,0001819516,NYSE,United States,USD,Common Stock,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2020-11-13,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
SOAR,SOAR,SOAR,"Volato Group, Inc.",0001853070,NYSE,United States,USD,Common Stock,development_stage_and_speculative_transport,Development-stage & Speculative Transport,2022-01-21,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
OMAB,OMAB,OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",0001378239,Nasdaq,Mexico,USD,Ordinary Shares,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
PAC,PAC,PAC,"Grupo Aeroportuario del Pacifico, S.A.B. de C.V.",0001347557,NYSE,Mexico,USD,Ordinary Shares,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
DAL,DAL,DAL,"Delta Air Lines, Inc.",0000027904,NYSE,United States,USD,Common Stock,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
UAL,UAL,UAL,"United Airlines Holdings, Inc.",0000100517,Nasdaq,United States,USD,Common Stock,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
AAL,AAL,AAL,American Airlines Group Inc.,0000006201,Nasdaq,United States,USD,Common Stock,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
LUV,LUV,LUV,Southwest Airlines Co.,0000092380,NYSE,United States,USD,Common Stock,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
ALK,ALK,ALK,"Alaska Air Group, Inc.",0000766421,NYSE,United States,USD,Common Stock,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
JBLU,JBLU,JBLU,JetBlue Airways Corporation,0001158463,Nasdaq,United States,USD,Common Stock,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
ALGT,ALGT,ALGT,Allegiant Travel Company,0001362468,Nasdaq,United States,USD,Common Stock,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
SKYW,SKYW,SKYW,"SkyWest, Inc.",0000793733,Nasdaq,United States,USD,Common Stock,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
ULCC,ULCC,ULCC,"Frontier Group Holdings, Inc.",0001670076,Nasdaq,United States,USD,Common Stock,air_transport_and_aviation_services,Air Transport & Aviation Services,2021-04-01,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
CPA,CPA,CPA,"Copa Holdings, S.A.",0001345105,NYSE,Panama,USD,Ordinary Shares,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
VLRS,VLRS,VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",0001520504,NYSE,Mexico,USD,Ordinary Shares,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
AZUL,AZUL,AZUL,Azul S.A.,0001432364,NYSE,Brazil,USD,Ordinary Shares,air_transport_and_aviation_services,Air Transport & Aviation Services,2026-06-01,,separate_regime_no_return_stitch,active,,structural_break_no_stitch,1.00,https://www.sec.gov/Archives/edgar/data/1432364/000129281426003646/azul20260615_424b3.htm,separate_regime_no_return_stitch; Chapter 11 emergence and capital reconstruction create a hard return-series break; post-reorganization ADSs listed on NYSE American on 2026-06-01 and transferred to NYSE on 2026-07-09.
RYAAY,RYAAY,RYAAY,Ryanair Holdings plc,0001038683,Nasdaq,Ireland,USD,Ordinary Shares,air_transport_and_aviation_services,Air Transport & Aviation Services,2019-01-02,,active_at_contract_build,active,,active_at_contract_build,0.95,norgate_local_metadata,Exact active mapping.
