"ticker","investability_status","company_name","cik","exchange","sector","industry","subsector","country","currency","security_type","listing_status","is_primary_listing","calibration_cohort","investment_group"
"CNI","investable","Canadian National Railway Company","0000016868","NYSE","Industrials","Railroads","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"CP","investable","Canadian Pacific Kansas City Limited","0000016875","NYSE","Industrials","Railroads","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"CSX","investable","CSX Corporation","0000277948","Nasdaq","Industrials","Railroads","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"NSC","investable","Norfolk Southern Corporation","0000702165","NYSE","Industrials","Railroads","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"UNP","investable","Union Pacific Corporation","0000100885","NYSE","Industrials","Railroads","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"ARCB","investable","ArcBest Corporation","0000894405","Nasdaq","Industrials","Trucking","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"ODFL","investable","Old Dominion Freight Line, Inc.","0000878927","Nasdaq","Industrials","Trucking","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"SAIA","investable","Saia, Inc.","0001177702","Nasdaq","Industrials","Trucking","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"XPO","investable","XPO, Inc.","0001166003","NYSE","Industrials","Trucking","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"HUBG","investable","Hub Group, Inc.","0000940942","Nasdaq","Industrials","Integrated Freight & Logistics","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"JBHT","investable","J.B. Hunt Transport Services, Inc.","0000728535","Nasdaq","Industrials","Integrated Freight & Logistics","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"KNX","investable","Knight-Swift Transportation Holdings Inc.","0001492691","NYSE","Industrials","Trucking","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"SNDR","investable","Schneider National, Inc.","0001692063","NYSE","Industrials","Trucking","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"TFII","investable","TFI International Inc.","0001588823","NYSE","Industrials","Trucking","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"CHRW","investable","C.H. Robinson Worldwide, Inc.","0001043277","Nasdaq","Industrials","Integrated Freight & Logistics","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"EXPD","investable","Expeditors International of Washington, Inc.","0000746515","NYSE","Industrials","Integrated Freight & Logistics","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"FDX","investable","FedEx Corporation","0001048911","NYSE","Industrials","Integrated Freight & Logistics","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"LSTR","investable","Landstar System, Inc.","0000853816","Nasdaq","Industrials","Integrated Freight & Logistics","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"UPS","investable","United Parcel Service, Inc.","0001090727","NYSE","Industrials","Integrated Freight & Logistics","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"DHT","investable","DHT Holdings, Inc.","0001331284","NYSE","Industrials","Marine Shipping","Transportation","United States","USD","Common Stock","active","TRUE","marine_shipping_and_maritime","oil_tanker_operators"
"ECO","investable","Okeanis Eco Tankers Corp.","0001964954","NYSE","Industrials","Marine Shipping","Transportation","United States","USD","Common Stock","active","TRUE","marine_shipping_and_maritime","oil_tanker_operators"
"FRO","investable","Frontline plc","0000913290","NYSE","Industrials","Marine Shipping","Transportation","United States","USD","Ordinary Shares","active","TRUE","marine_shipping_and_maritime","oil_tanker_operators"
"NAT","investable","NORDIC AMERICAN TANKERS Ltd","0001000177","NYSE","Industrials","Marine Shipping","Transportation","United States","USD","Common Stock","active","TRUE","marine_shipping_and_maritime","oil_tanker_operators"
"ASC","investable","Ardmore Shipping Corporation","0001577437","NYSE","Industrials","Marine Shipping","Transportation","United States","USD","Common Stock","active","TRUE","marine_shipping_and_maritime","oil_tanker_operators"
"HAFN","investable","Hafnia Limited","0001815779","NYSE","Industrials","Marine Shipping","Transportation","United States","USD","Common Stock","active","TRUE","marine_shipping_and_maritime","oil_tanker_operators"
"STNG","investable","Scorpio Tankers Inc.","0001483934","NYSE","Industrials","Marine Shipping","Transportation","United States","USD","Common Stock","active","TRUE","marine_shipping_and_maritime","oil_tanker_operators"
"TRMD","investable","TORM plc","0001655891","Nasdaq","Industrials","Marine Shipping","Transportation","United States","USD","Common Stock","active","TRUE","marine_shipping_and_maritime","oil_tanker_operators"
"INSW","investable","International Seaways, Inc.","0001679049","NYSE","Industrials","Marine Shipping","Transportation","United States","USD","Common Stock","active","TRUE","marine_shipping_and_maritime","oil_tanker_operators"
"TNK","investable","TEEKAY TANKERS LTD.","0001419945","NYSE","Industrials","Marine Shipping","Transportation","United States","USD","Common Stock","active","TRUE","marine_shipping_and_maritime","oil_tanker_operators"
"TEN","investable","TSAKOS ENERGY NAVIGATION LTD","0001166663","NYSE","Industrials","Marine Shipping","Transportation","United States","USD","Common Stock","active","TRUE","marine_shipping_and_maritime","oil_tanker_operators"
"CVLG","investable","Covenant Logistics Group, Inc.","0000928658","NYSE","Industrials","Trucking","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"FWRD","investable","Forward Air Corporation","0000912728","Nasdaq","Industrials","Integrated Freight & Logistics","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"HTLD","investable","Heartland Express, Inc.","0000799233","Nasdaq","Industrials","Trucking","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"MRTN","investable","Marten Transport, Ltd.","0000799167","Nasdaq","Industrials","Trucking","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
"WERN","investable","Werner Enterprises, Inc.","0000793074","Nasdaq","Industrials","Trucking","Transportation","United States","USD","Common Stock","active","TRUE","surface_freight_and_logistics","surface_freight_core"
