ticker,first_eligible_date,last_eligible_date,eligibility_basis,source,confidence,notes
ASR,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ASR; raw_first_quoted_date=2000-09-28
JOBY,2020-11-09,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=JOBY; raw_first_quoted_date=2020-11-09
CAAP,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CAAP; raw_first_quoted_date=2018-02-01
ASLE,2019-02-28,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ASLE; raw_first_quoted_date=2019-02-28
UP,2020-11-13,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=UP; raw_first_quoted_date=2020-11-13
SOAR,2022-01-21,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SOAR; raw_first_quoted_date=2022-01-21
OMAB,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=OMAB; raw_first_quoted_date=2006-11-29
PAC,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=PAC; raw_first_quoted_date=2006-02-24
DAL,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=DAL; raw_first_quoted_date=2007-04-26
UAL,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=UAL; raw_first_quoted_date=2006-01-25
AAL,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=AAL; raw_first_quoted_date=2013-12-09
LUV,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=LUV; raw_first_quoted_date=1990-01-02
ALK,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ALK; raw_first_quoted_date=1990-01-02
JBLU,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=JBLU; raw_first_quoted_date=2002-04-12
ALGT,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ALGT; raw_first_quoted_date=2006-12-08
SKYW,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=SKYW; raw_first_quoted_date=1990-01-02
ULCC,2021-04-01,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=ULCC; raw_first_quoted_date=2021-04-01
CPA,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=CPA; raw_first_quoted_date=2005-12-15
VLRS,2019-01-02,,max_history_start_and_norgate_first_quoted_date,norgate_local_metadata,0.95,norgate_symbol=VLRS; raw_first_quoted_date=2013-09-18
AZUL,2026-06-01,,separate_regime_no_return_stitch,https://www.sec.gov/Archives/edgar/data/1432364/000129281426003646/azul20260615_424b3.htm,1.00,continuity_policy=STRUCTURAL_BREAK_NO_STITCH; related_price_symbols=AZULQ|AZUL3.SA; raw_norgate_first_quoted_date=2026-02-02
