internal_ticker,actual_ticker,norgate_symbol,source_database,company_name,norgate_security_name,first_quoted_date,last_quoted_date,eligibility_end_date,mapping_status,mapping_reason,name_similarity,exit_year,calibration_usable_flag,review_status,notes
ASR,ASR,ASR,US Equities,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Grupo Aeroportuario del Sureste SAB de CV Class B ADR,2000-09-28,,,verified_exact_active,exact_active_symbol_and_name_match,0.881720,,1,auto_verified,
JOBY,JOBY,JOBY,US Equities,"Joby Aviation, Inc.",Joby Aviation Inc Common,2020-11-09,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
CAAP,CAAP,CAAP,US Equities,Corporación América Airports S.A.,Corporacion America Airports SA Common,2018-02-01,,,verified_exact_active,exact_active_symbol_and_name_match,0.920635,,1,auto_verified,
ASLE,ASLE,ASLE,US Equities,AerSale Corporation,AerSale Corp Common,2019-02-28,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
UP,UP,UP,US Equities,Wheels Up Experience Inc.,Wheels Up Experience Inc Class A Common,2020-11-13,,,verified_exact_active,exact_active_symbol_and_name_match,0.833333,,1,auto_verified,
SOAR,SOAR,SOAR,US Equities,"Volato Group, Inc.",Volato Group Inc Class A Common,2022-01-21,,,verified_exact_active,exact_active_symbol_and_name_match,0.600000,,1,auto_verified,
OMAB,OMAB,OMAB,US Equities,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",Grupo Aeroportuario del Centro Norte SAB de CV Class B ADR,2006-11-29,,,verified_exact_active,exact_active_symbol_and_name_match,0.893204,,1,auto_verified,
PAC,PAC,PAC,US Equities,"Grupo Aeroportuario del Pacifico, S.A.B. de C.V.",Grupo Aeroportuario del Pacifico SAB de CV Class B ADR,2006-02-24,,,verified_exact_active,exact_active_symbol_and_name_match,0.884211,,1,auto_verified,
DAL,DAL,DAL,US Equities,"Delta Air Lines, Inc.",Delta Air Lines Inc Common,2007-04-26,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
UAL,UAL,UAL,US Equities,"United Airlines Holdings, Inc.",United Airlines Holdings Inc Common,2006-01-25,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
AAL,AAL,AAL,US Equities,American Airlines Group Inc.,American Airlines Group Inc Common,2013-12-09,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
LUV,LUV,LUV,US Equities,Southwest Airlines Co.,Southwest Airlines Co Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
ALK,ALK,ALK,US Equities,"Alaska Air Group, Inc.",Alaska Air Group Inc Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
JBLU,JBLU,JBLU,US Equities,JetBlue Airways Corporation,JetBlue Airways Corp Common,2002-04-12,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
ALGT,ALGT,ALGT,US Equities,Allegiant Travel Company,Allegiant Travel Co Common,2006-12-08,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
SKYW,SKYW,SKYW,US Equities,"SkyWest, Inc.",SkyWest Inc Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
ULCC,ULCC,ULCC,US Equities,"Frontier Group Holdings, Inc.",Frontier Group Holdings Inc Common,2021-04-01,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
CPA,CPA,CPA,US Equities,"Copa Holdings, S.A.",Copa Holdings SA Class A Common,2005-12-15,,,verified_exact_active,exact_active_symbol_and_name_match,0.695652,,1,auto_verified,
VLRS,VLRS,VLRS,US Equities,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",Controladora Vuela Compania de Aviacion SAB de CV Class A ADR,2013-09-18,,,verified_exact_active,exact_active_symbol_and_name_match,0.899083,,1,auto_verified,
AZUL,AZUL,AZUL,US Equities,Azul S.A.,Azul SA ADR,2026-02-02,,,verified_exact_active,exact_active_symbol_and_name_match,0.933333,,1,auto_verified,continuity_policy=STRUCTURAL_BREAK_NO_STITCH; history_treatment=separate_regime_no_return_stitch
RYAAY,RYAAY,RYAAY,US Equities,Ryanair Holdings plc,Ryanair Holdings PLC ADR,1997-05-29,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
LTM,LTM,LTM,US Equities,LATAM Airlines Group S.A.,LATAM Airlines Group SA ADR,1997-11-07,,,verified_exact_active,exact_active_symbol_and_name_match,0.971429,,1,auto_verified,continuity_policy=STRUCTURAL_BREAK_NO_STITCH; history_treatment=separate_regime_no_return_stitch
AER,AER,AER,US Equities,AerCap Holdings N.V.,AerCap Holdings NV Common,2006-11-21,,,verified_exact_active,exact_active_symbol_and_name_match,0.947368,,1,auto_verified,
FTAI,FTAI,FTAI,US Equities,FTAI Aviation Ltd.,FTAI Aviation Ltd Common,2015-05-15,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
WLFC,WLFC,WLFC,US Equities,Willis Lease Finance Corporation,Willis Lease Finance Corp Common,1996-09-18,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
UPS,UPS,UPS,US Equities,"United Parcel Service, Inc.",United Parcel Service Inc Class B Common,1999-11-10,,,verified_exact_active,exact_active_symbol_and_name_match,0.840000,,1,auto_verified,
FDX,FDX,FDX,US Equities,FedEx Corporation,FedEx Corp Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
JBHT,JBHT,JBHT,US Equities,"J.B. Hunt Transport Services, Inc.",J.B. Hunt Transport Services Inc Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
CHRW,CHRW,CHRW,US Equities,"C.H. Robinson Worldwide, Inc.",C.H. Robinson Worldwide Inc Common,1997-10-15,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
EXPD,EXPD,EXPD,US Equities,"Expeditors International of Washington, Inc.",Expeditors International of Washington Inc Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
FDXF,FDXF,FDXF,US Equities,"FedEx Freight Holding Company, Inc.",FedEx Freight Holding Company Inc Common,2026-05-27,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
LSTR,LSTR,LSTR,US Equities,"Landstar System, Inc.",Landstar System Inc Common,1993-03-05,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
GXO,GXO,GXO,US Equities,"GXO Logistics, Inc.",GXO Logistics Inc Common,2021-07-22,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
PBI,PBI,PBI,US Equities,Pitney Bowes Inc.,Pitney Bowes Inc Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
CYRX,CYRX,CYRX,US Equities,"Cryoport, Inc.",CryoPort Inc Common,2005-01-31,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
FWRD,FWRD,FWRD,US Equities,Forward Air Corporation,Forward Air Corp Common,1993-11-16,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
RLGT,RLGT,RLGT,US Equities,"Radiant Logistics, Inc.",Radiant Logistics Inc Common,2005-12-30,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
PAL,PAL,PAL,US Equities,"Proficient Auto Logistics, Inc.",Proficient Auto Logistics Inc Common,2024-05-09,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
CRGO,CRGO,CRGO,US Equities,Freightos Limited,Freightos Ltd Common,2021-11-17,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
SFWL,SFWL,SFWL,US Equities,Shengfeng Development Limited,Shengfeng Development Ltd Class A Common,2023-03-31,,,verified_exact_active,exact_active_symbol_and_name_match,0.840000,,1,auto_verified,
NCEW,NCEW,NCEW,US Equities,New Century Logistics (BVI) Limited,New Century Logistics (BVI) Ltd Common,2024-12-18,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
PSIG,PSIG,PSIG,US Equities,PS International Group Ltd.,PS International Group Ltd Common,2022-02-23,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,continuity_policy=SPAC_RECAPITALIZATION_NO_PRICE_STITCH; history_treatment=hard_boundary_no_spac_price_stitch
ELOG,ELOG,ELOG,US Equities,Eastern International Ltd.,Eastern International Ltd Common,2025-08-28,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
JYD,JYD,JYD,US Equities,Jayud Global Logistics Limited,Jayud Global Logistics Ltd Class A Common,2023-04-21,,,verified_exact_active,exact_active_symbol_and_name_match,0.846154,,1,auto_verified,
CTNT,CTNT,CTNT,US Equities,Cheetah Net Supply Chain Service Inc.,Cheetah Net Supply Chain Service Inc Class A Common,2023-08-01,,,verified_exact_active,exact_active_symbol_and_name_match,0.888889,,1,auto_verified,
ATXG,ATXG,ATXG,US Equities,Addentax Group Corp.,Addentax Group Corp Common,2016-12-12,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
CIIT,CIIT,CIIT,US Equities,"Tianci International, Inc.",Tianci International Inc Common,2013-10-10,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
HUBG,HUBG,HUBG,US Equities,"Hub Group, Inc.",Hub Group Inc Class A Common,1996-03-13,,,verified_exact_active,exact_active_symbol_and_name_match,0.428571,,1,auto_verified,
ZTO,ZTO,ZTO,US Equities,ZTO Express (Cayman) Inc.,ZTO Express (Cayman) Inc Class A ADR,2016-10-27,,,verified_exact_active,exact_active_symbol_and_name_match,0.818182,,1,auto_verified,
KEX,KEX,KEX,US Equities,Kirby Corporation,Kirby Corp Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
MATX,MATX,MATX,US Equities,"Matson, Inc.",Matson Inc Common,1990-01-02,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
HAFN,HAFN,HAFN,US Equities,Hafnia Limited,Hafnia Ltd Common,2020-06-18,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,continuity_policy=CROSS_LISTING_SEPARATE_SECURITY; history_treatment=separate_listing_optional_issuer_proxy
ZIM,ZIM,ZIM,US Equities,ZIM Integrated Shipping Services Ltd.,ZIM Integrated Shipping Services Ltd Common,2021-01-28,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
SBLK,SBLK,SBLK,US Equities,Star Bulk Carriers Corp.,Star Bulk Carriers Corp Common,2006-02-27,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
DAC,DAC,DAC,US Equities,Danaos Corporation,Danaos Corp Common,2006-10-06,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
ECO,ECO,ECO,US Equities,Okeanis Eco Tankers Corp.,Okeanis Eco Tankers Corp Common,2020-03-30,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,continuity_policy=CROSS_LISTING_SEPARATE_SECURITY; history_treatment=separate_listing_optional_issuer_proxy
CMRE,CMRE,CMRE,US Equities,Costamare Inc.,Costamare Inc Common,2010-11-04,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
GSL,GSL,GSL,US Equities,"Global Ship Lease, Inc.",Global Ship Lease Inc Class A Common,2006-09-29,,,verified_exact_active,exact_active_symbol_and_name_match,0.809524,,1,auto_verified,
CCEC,CCEC,CCEC,US Equities,Capital Clean Energy Carriers Corp.,Capital Clean Energy Carriers Corp Common,2007-03-30,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
GNK,GNK,GNK,US Equities,Genco Shipping & Trading Limited,Genco Shipping & Trading Ltd Common,2014-07-15,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
SB,SB,SB,US Equities,"Safe Bulkers, Inc.",Safe Bulkers Inc Common,2008-05-29,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
HSHP,HSHP,HSHP,US Equities,Himalaya Shipping Ltd.,Himalaya Shipping Ltd Common,2022-10-25,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,continuity_policy=CROSS_LISTING_SEPARATE_SECURITY; history_treatment=separate_listing_optional_issuer_proxy
ASC,ASC,ASC,US Equities,Ardmore Shipping Corporation,Ardmore Shipping Corp Common,2013-08-01,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
ESEA,ESEA,ESEA,US Equities,Euroseas Ltd.,Euroseas Ltd Common,2006-05-05,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
PANL,PANL,PANL,US Equities,Pangaea Logistics Solutions Ltd.,Pangaea Logistics Solutions Ltd Common,2013-12-19,,,verified_exact_active,exact_active_symbol_and_name_match,1.000000,,1,auto_verified,
