ticker,effective_from,effective_to,listing_instrument,underlying_shares_per_traded_security,review_status,source_url,notes
AER,2019-01-02,,DIRECT_SHARE,1.0,REVIEWED_DIRECT,https://www.sec.gov/Archives/edgar/data/1378789/000162828026007513/aer-20251231.htm,Primary filing identifies AER ordinary shares traded directly on NYSE
ASR,2019-01-02,,ADR_ADS,10.0,REVIEWED_ADR,https://www.sec.gov/Archives/edgar/data/1123452/000110465921049375/tm2037704d1_20f.htm,Primary filing states each ADS represents ten Series B shares
AZUL,2026-06-01,,ADR_ADS,2.0,REVIEWED_ADR,https://www.sec.gov/Archives/edgar/data/1432364/000129281426002828/azul20260416_f1.htm,Post-restructuring regime only; primary filing states each ADS represents two preferred shares
CPA,2019-01-02,,DIRECT_SHARE,1.0,REVIEWED_DIRECT,https://www.sec.gov/Archives/edgar/data/1345105/000119312521128866/d128959d20f.htm,Primary filing identifies CPA Class A shares traded directly on NYSE
LTM,2024-07-25,,ADR_ADS,2000.0,REVIEWED_ADR,https://www.sec.gov/Archives/edgar/data/1047716/000104771626000046/ltm-20251231.htm,Post-relisting regime only; primary filing states each ADS represents two thousand common shares
OMAB,2019-01-02,,ADR_ADS,8.0,REVIEWED_ADR,https://www.sec.gov/Archives/edgar/data/1378239/000155837021005352/omab-20201231x20f.htm,Primary filing states each ADS represents eight Series B shares
PAC,2019-01-02,,ADR_ADS,10.0,REVIEWED_ADR,https://www.sec.gov/Archives/edgar/data/1347557/000156459022015156/pac-20f_20211231.htm,Primary filing states each ADS represents ten Series B shares
RYAAY,2019-01-02,,ADR_ADS,5.0,REVIEWED_ADR,https://www.sec.gov/Archives/edgar/data/1038683/000155837021009268/ryaa-20210331x20f.htm,Primary filing states each ADS represents five ordinary shares
VLRS,2019-01-02,,ADR_ADS,10.0,REVIEWED_ADR,https://www.sec.gov/Archives/edgar/data/1520504/000129281426002559/vlrsform20f_2025.htm,Primary filing states each ADS represents ten CPOs and each CPO represents one Series A share
ZTO,2019-01-02,,ADR_ADS,1.0,REVIEWED_ADR,https://www.sec.gov/Archives/edgar/data/1677250/000110465926044613/zto-20251231x20f.htm,Primary filing states each ADS represents one Class A ordinary share
ATCO,2019-01-02,2023-03-27,DIRECT_SHARE,1.0,REVIEWED_DIRECT,https://www.sec.gov/Archives/edgar/data/1794846/000162828023008175/atco-20221231.htm,Primary filing identifies ATCO common shares traded on NYSE
FLY,2019-01-02,2021-08-02,ADR_ADS,1.0,REVIEWED_ADR,https://www.sec.gov/Archives/edgar/data/1407298/000119312513192898/d502841d424b3.htm,Primary filing states each ADS represents one common share
GLOG,2019-01-02,2021-06-08,DIRECT_SHARE,1.0,REVIEWED_DIRECT,https://www.sec.gov/Archives/edgar/data/1534126/000104746921000509/a2242982z20-f.htm,Primary filing identifies GLOG common shares traded on NYSE
