ticker,investability_status,company_name,cik,exchange,sector,industry,subsector,country,currency,security_type,listing_status,is_primary_listing,calibration_cohort
ASR,investable,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",1123452,NYSE,Industrials,Airports & Air Services,Transportation,United States,USD,Common Stock,active,TRUE,air_transport_and_aviation_services
JOBY,investable,"Joby Aviation, Inc.",1819848,NYSE,Industrials,Airports & Air Services,Transportation,United States,USD,Common Stock,active,TRUE,development_stage_and_speculative_transport
CAAP,investable,Corporación América Airports S.A.,1717393,NYSE,Industrials,Airports & Air Services,Transportation,United States,USD,Common Stock,active,TRUE,air_transport_and_aviation_services
ASLE,investable,AerSale Corporation,1754170,Nasdaq,Industrials,Airports & Air Services,Transportation,United States,USD,Common Stock,active,TRUE,air_transport_and_aviation_services
UP,investable,Wheels Up Experience Inc.,1819516,NYSE,Industrials,Airports & Air Services,Transportation,United States,USD,Common Stock,active,TRUE,development_stage_and_speculative_transport
SOAR,investable,"Volato Group, Inc.",1853070,NYSE,Industrials,Airports & Air Services,Transportation,United States,USD,Common Stock,active,TRUE,development_stage_and_speculative_transport
OMAB,investable,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",1378239,Nasdaq,Industrials,Airports & Air Services,Transportation,Mexico,USD,Ordinary Shares,active,TRUE,air_transport_and_aviation_services
PAC,investable,"Grupo Aeroportuario del Pacifico, S.A.B. de C.V.",1347557,NYSE,Industrials,Airports & Air Services,Transportation,Mexico,USD,Ordinary Shares,active,TRUE,air_transport_and_aviation_services
DAL,investable,"Delta Air Lines, Inc.",27904,NYSE,Industrials,Airlines,Transportation,United States,USD,Common Stock,active,TRUE,air_transport_and_aviation_services
UAL,investable,"United Airlines Holdings, Inc.",100517,Nasdaq,Industrials,Airlines,Transportation,United States,USD,Common Stock,active,TRUE,air_transport_and_aviation_services
AAL,investable,American Airlines Group Inc.,6201,Nasdaq,Industrials,Airlines,Transportation,United States,USD,Common Stock,active,TRUE,air_transport_and_aviation_services
