ticker,alias_raw,source,note,valid_from,reviewed_at,valid_to
XRAY,"Dentsply Sirona, Inc.",owner_operator,Verified owner/operator 2511302 legal parent,2026-08-10,2026-08-10,
XRAY,DENTSPLY IH INC.,operating_unit,Verified Dentsply Sirona owner/operator 2511302 manufacturer,2026-08-10,2026-08-10,
XRAY,DENTSPLY IMPLANTS MANUFACTURING GMBH,operating_unit,Verified Dentsply implant manufacturing entity,2026-08-10,2026-08-10,
XRAY,DENTSPLY IMPLANTS (A DIVISION OF DENTSPLY IH AB),operating_unit,Verified Dentsply implant operating entity,2026-08-10,2026-08-10,
XRAY,DENTSPLY SIRONA ORTHODONTICS INC.,operating_unit,Verified owner/operator 2511302 orthodontics entity,2026-08-10,2026-08-10,
XRAY,SIRONA DENTAL SYSTEMS GMBH,operating_unit,Verified Sirona dental equipment operating entity,2026-08-10,2026-08-10,
ABT,Abbott Diabetes Care,operating_unit,High-volume FDA labeler under Abbott,2026-06-26,2026-06-25,
ABT,Abbott Medical,operating_unit,Abbott cardiovascular/medical device operating unit,2026-06-26,2026-06-25,
ABT,Abbott Molecular,operating_unit,Abbott diagnostics operating unit,2026-06-26,2026-06-25,
ABT,St Jude Medical,acquired_subsidiary,Acquired by Abbott,2017-01-04,2026-06-25,
ABT,Thoratec,acquired_subsidiary,Acquired by St Jude Medical then Abbott,2015-10-08,2026-06-25,
AORT,Artivion Inc,operating_unit,Artivion operating entity for FDA device records,2026-06-26,2026-06-25,
AORT,CryoLife,legacy_operating_name,Artivion legacy operating name,2026-06-26,2026-06-25,
AVNS,Avanos Medical Inc,operating_unit,Avanos operating entity for FDA device records,2026-06-26,2026-06-25,
AVNS,Halyard Health,legacy_operating_name,Avanos legacy operating name,2026-06-26,2026-06-25,
AVR,Anteris Technologies Global Corp,operating_unit,Anteris operating entity for FDA device records,2026-06-26,2026-06-25,
AXGN,Axogen Corporation,operating_unit,Axogen operating entity for FDA device records,2026-06-26,2026-06-25,
BDX,C R Bard,acquired_subsidiary,Acquired by Becton Dickinson,2017-12-29,2026-06-25,
BDX,Bard Peripheral Vascular,operating_unit,Bard operating unit under Becton Dickinson,2017-12-29,2026-06-25,
BDX,CareFusion,acquired_subsidiary,Acquired by Becton Dickinson,2015-03-17,2026-06-25,
BAX,Baxter Healthcare Corp,operating_unit,Baxter operating entity for device records,2026-06-26,2026-06-25,
BAX,Hill-Rom Services,acquired_subsidiary,Hillrom operating entity under Baxter,2021-12-13,2026-06-25,
BAX,Gambro,acquired_subsidiary,Renal care operating entity under Baxter,2026-06-26,2026-06-25,
BSX,Guidant,acquired_subsidiary,Acquired by Boston Scientific,2006-04-21,2026-06-25,
CLPT,ClearPoint Neuro Inc,operating_unit,ClearPoint operating entity for FDA device records,2026-06-26,2026-06-25,
CLPT,MRI Interventions,legacy_operating_name,ClearPoint legacy operating name,2026-06-26,2026-06-25,
DCTH,Delcath Systems Inc,operating_unit,Delcath operating entity for FDA device records,2026-06-26,2026-06-25,
DHR,Beckman Coulter,operating_company,Danaher diagnostics operating company,2026-06-26,2026-06-25,
DHR,Cepheid,operating_company,Danaher diagnostics operating company,2016-11-04,2026-06-25,
ENOV,DJO,legacy_operating_name,Enovis legacy orthopedic/bracing operating name,2026-06-26,2026-06-25,
ELMD,Electromed Inc,operating_unit,Electromed operating entity for FDA device records,2026-06-26,2026-06-25,
EMBC,Embecta Corp,operating_unit,Embecta operating entity for FDA device records,2026-06-26,2026-06-25,
ESTA,Establishment Labs SA,operating_unit,Establishment Labs operating entity for FDA device records,2026-06-26,2026-06-25,
FEED,ENvue Medical Inc,operating_unit,ENvue operating entity for FDA device records,2026-06-26,2026-06-25,
FMS,Fresenius Medical Care Renal Therapies Group,operating_unit,Fresenius Medical Care public parent trades as FMS,2026-06-26,2026-06-25,
GCTK,GlucoTrack Inc,operating_unit,GlucoTrack operating entity for FDA device records,2026-06-26,2026-06-25,
GEHC,GE Medical Systems,legacy_name,Legacy GE Healthcare medical systems entity,2026-06-26,2026-06-25,
GEHC,Datex-Ohmeda Inc,legacy_ge_healthcare_entity,GEHC low-materiality review: anesthesia systems legacy legal entity maps to GE HealthCare parent.,2026-06-26,2026-06-25,
GEHC,Datex-Ohmeda,legacy_ge_healthcare_entity,GEHC low-materiality review: anesthesia systems legacy legal entity maps to GE HealthCare parent.,2026-06-26,2026-06-25,
GEHC,GE Healthcare Integrated IT Solutions,legacy_ge_healthcare_entity,GEHC low-materiality review: software/viewer legal entity maps to GE HealthCare parent.,2026-06-26,2026-06-25,
HAE,Haemonetics Corp,operating_unit,Haemonetics operating entity for FDA device records,2026-06-26,2026-06-25,
HAE,Haemonetics Corporation,operating_unit,Haemonetics operating entity for FDA device records,2026-06-26,2026-06-25,
IART,Integra LifeSciences,operating_unit,Integra operating entity for FDA device records,2026-06-26,2026-06-25,
IART,Integra LifeSciences Corp,operating_unit,Integra operating entity for FDA device records,2026-06-26,2026-06-25,
INFU,InfuSystem Holdings Inc,operating_unit,InfuSystem operating entity for FDA device records,2026-06-26,2026-06-25,
INFU,InfuSystem Inc,operating_unit,InfuSystem operating entity for FDA device records,2026-06-26,2026-06-25,
INGN,Inogen Inc,operating_unit,Inogen operating entity for FDA device records,2026-06-26,2026-06-25,
MBOT,Microbot Medical Inc,operating_unit,Microbot operating entity for FDA device records,2026-06-26,2026-06-25,
MDT,Covidien,acquired_subsidiary,Acquired by Medtronic,2015-01-26,2026-06-25,
MDT,Covidien LLC,acquired_subsidiary,Acquired by Medtronic,2015-01-26,2026-06-25,
MDT,Medtronic Inc,operating_unit,Medtronic operating entity,2026-06-26,2026-06-25,
MDT,Medtronic MiniMed,operating_unit,Medtronic diabetes operating unit,2026-06-26,2026-06-25,
MDT,Medtronic Vascular,operating_unit,Medtronic vascular operating unit,2026-06-26,2026-06-25,
MDT,Scientia Vascular,acquired_subsidiary,Medtronic announced acquisition for neurovascular portfolio,2026-06-26,2026-06-25,
MDT,Sofamor Danek,legacy_operating_name,Medtronic spine legacy operating name,2026-06-26,2026-06-25,
