template_key,metric_suffix,regime_block,source_name,source_dataset,source_series_id_template,frequency,seasonal_adjustment,units,vintage_policy,update_cadence,history_start_date,revision_window_days,source_priority,worker_hint,enabled,enabled_ref_areas,disabled_ref_areas,enabled_country_classes,required_context_keys,source_params_json,apply_scopes,disabled_reason,notes
oecd_cli,cli,growth_lead,oecd_sdmx,DSD_STES@DF_CLI,{ref_area}.M.LI.IX._Z.AA.IX._Z.H,monthly,amplitude_adjusted,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"BRA,CHN,DEU,IND,ITA,KOR",,"A_full,C_fallback",,"{""agency_id"":""OECD.SDD.STES""}","single_country","Excluded from the tier-1 runtime registry because this country does not use the validated OECD CLI row in v1.","Tier 1 local leading indicator via validated OECD CLI key."
oecd_bci,bci,growth_lead,oecd_sdmx,DSD_STES@DF_CLI,{ref_area}.M.BCICP.IX._Z.AA.IX._Z.H,monthly,amplitude_adjusted,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"BRA,CHN,DEU,IND,ITA,KOR",,"A_full,C_fallback",,"{""agency_id"":""OECD.SDD.STES""}","single_country","Excluded from the tier-1 runtime registry because this country does not use the validated OECD business-confidence row in v1.","Tier 1 business-confidence indicator via validated OECD CLI-family key."
oecd_cci,cci,growth_lead,oecd_sdmx,DSD_STES@DF_CLI,{ref_area}.M.CCICP.IX._Z.AA.IX._Z.H,monthly,amplitude_adjusted,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"BRA,CHN,DEU,IND,ITA,KOR",,"A_full,C_fallback",,"{""agency_id"":""OECD.SDD.STES""}","single_country","Excluded from the tier-1 runtime registry because this country does not use the validated OECD consumer-confidence row in v1.","Tier 1 consumer-confidence indicator via validated OECD CLI-family key."
oecd_headline_cpi,headline_cpi,inflation_now,oecd_sdmx,DSD_PRICES@DF_PRICES_ALL,{ref_area}.M.N.CPI.IX._T.N._Z,monthly,nsa,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"BRA,CHN,DEU,IND,ITA,KOR",,"A_full,C_fallback",,"{""agency_id"":""OECD.SDD.TPS""}","single_country","Excluded from the tier-1 runtime registry because this country does not use the validated OECD headline CPI row in v1.","Tier 1 inflation block uses headline CPI where validated in OECD."
oecd_core_cpi,core_cpi_ex_food_energy,inflation_now,oecd_sdmx,DSD_PRICES@DF_PRICES_N_TXCP01_NRG,{ref_area}.M.N.CPI.PA._TXCP01_NRG.N.GY,monthly,nsa,percent,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"DEU,ITA,KOR",,"A_full",,"{""agency_id"":""OECD.SDD.TPS""}","single_country","Excluded from the tier-1 runtime registry because this country does not use the validated OECD core CPI row in v1.","Tier 1 uses exact OECD core CPI only for full-pack countries where the validated definition exists."
oecd_industrial_production,industrial_production,growth_now,oecd_sdmx,DSD_KEI@DF_KEI,{ref_area}.M.PRVM.IX.BTE.Y._Z,monthly,sa,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"BRA,DEU,IND,ITA,KOR",,"A_full,C_fallback",,"{""agency_id"":""OECD.SDD.STES""}","single_country","Excluded from the tier-1 runtime registry because this country does not use the validated OECD industrial-production row in v1.","Tier 1 hard-activity block uses OECD industrial production where validated."
oecd_short_rate,short_term_rate,growth_now,oecd_sdmx,DSD_STES@DF_FINMARK,{ref_area}.M.{short_rate_measure}.PA._Z._Z._Z._Z.N,monthly,nsa,percent,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"BRA,CHN,DEU,IND,ITA,KOR",,"A_full,C_fallback",,"{""agency_id"":""OECD.SDD.STES""}","single_country","Excluded from the tier-1 runtime registry because this country does not use the validated OECD short-rate row in v1.","Tier 1 local-rates block uses validated OECD FINMARK short-rate keys."
oecd_long_rate,long_term_yield,growth_now,oecd_sdmx,DSD_STES@DF_FINMARK,{ref_area}.M.IRLT.PA._Z._Z._Z._Z.N,monthly,nsa,percent,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"BRA,CHN,DEU,IND,ITA,KOR",,"A_full,C_fallback",,"{""agency_id"":""OECD.SDD.STES""}","single_country","Excluded from the tier-1 runtime registry because this country does not use the validated OECD long-yield row in v1.","Tier 1 local-rates block uses validated OECD FINMARK long-yield keys."
oecd_unemployment,unemployment_rate,growth_now,oecd_sdmx,DSD_LFS@DF_IALFS_UNE_M,{ref_area}.UNE_LF_M.PT_LF_SUB._Z.Y._T.Y_GE15._Z.M,monthly,sa,percent,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"DEU,ITA,KOR",,"A_full",,"{""agency_id"":""OECD.SDD.TPS""}","single_country","Excluded from the tier-1 runtime registry because labor confirmation is only required for full-pack countries in v1.","Tier 1 labor confirmation uses OECD unemployment only for full-pack countries."
oecd_real_gdp_growth,real_gdp_growth,growth_now,oecd_sdmx,DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD,Q.Y.{ref_area}.S1.S1.B1GQ._Z._Z._Z.PC.L.G1.T0102,quarterly,sa,percent,retrieval_snapshot,quarterly,2000-01-01,120,1,1,1,"BRA,CHN,DEU,IND,ITA,KOR",,"A_full,C_fallback",,"{""agency_id"":""OECD.SDD.NAD""}","single_country","Excluded from the tier-1 runtime registry because this country does not use the validated OECD GDP-growth row in v1.","Tier 1 context block uses validated OECD real GDP growth where available."
