registry_key,metric_key,regime_block,source_name,source_dataset,source_series_id,ref_area,frequency,seasonal_adjustment,units,vintage_policy,update_cadence,history_start_date,revision_window_days,source_priority,worker_hint,enabled,source_params_json,notes
us_ads_index,us_ads_index,growth_now,phillyfed_ads,ads,ADS_INDEX,USA,daily,sa,index level,true_vintage,daily,2008-01-01,365,1,1,1,"{""page_url"":""https://www.philadelphiafed.org/surveys-and-data/real-time-data-research/ads""}","Philadelphia Fed ADS page parser extracts the current vintage workbook and the all-vintages archive."
us_cfnai,us_cfnai,growth_now,fred_alfred,fred,CFNAI,USA,monthly,sa,index level,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Chicago Fed National Activity Index."
us_cfnai_ma3,us_cfnai_ma3,growth_now,fred_alfred,fred,CFNAIMA3,USA,monthly,sa,index level,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Chicago Fed National Activity Index three-month average."
us_nonfarm_payrolls,us_nonfarm_payrolls,growth_now,fred_alfred,fred,PAYEMS,USA,monthly,sa,thousands,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Nonfarm payroll employment."
us_unemployment_rate,us_unemployment_rate,growth_now,fred_alfred,fred,UNRATE,USA,monthly,sa,percent,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Civilian unemployment rate."
us_initial_claims,us_initial_claims,growth_now,fred_alfred,fred,ICSA,USA,weekly,sa,number,true_vintage,weekly,1990-01-01,730,1,1,1,{},"Initial claims."
us_initial_claims_4w,us_initial_claims_4w,growth_now,fred_alfred,fred,IC4WSA,USA,weekly,sa,number,true_vintage,weekly,1990-01-01,730,1,1,1,{},"4-week moving average of initial claims."
us_industrial_production,us_industrial_production,growth_now,fred_alfred,fred,INDPRO,USA,monthly,sa,index 2017=100,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Industrial production."
us_real_personal_income_less_transfers,us_real_personal_income_less_transfers,growth_now,fred_alfred,fred,W875RX1,USA,monthly,sa,billions of chained 2017 dollars,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Real personal income less transfer receipts."
us_real_mfg_trade_sales,us_real_mfg_trade_sales,growth_now,fred_alfred,fred,CMRMTSPL,USA,monthly,sa,billions of chained 2017 dollars,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Real manufacturing and trade industries sales."
us_real_gdp,us_real_gdp,growth_now,fred_alfred,fred,GDPC1,USA,quarterly,sa,billions of chained 2017 dollars,true_vintage,quarterly,1990-01-01,3650,1,1,1,{},"Real GDP."
us_building_permits,us_building_permits,growth_lead,fred_alfred,fred,PERMIT,USA,monthly,sa,thousands of units,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"New private housing units authorized by permits."
us_single_family_permits,us_single_family_permits,growth_lead,fred_alfred,fred,PERMIT1,USA,monthly,sa,thousands of units,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Single-family permits."
us_housing_starts,us_housing_starts,growth_lead,fred_alfred,fred,HOUST,USA,monthly,sa,thousands of units,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Housing starts."
us_single_family_starts,us_single_family_starts,growth_lead,fred_alfred,fred,HOUST1F,USA,monthly,sa,thousands of units,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Single-family housing starts."
us_advance_retail_sales,us_advance_retail_sales,growth_lead,fred_alfred,fred,RSAFS,USA,monthly,sa,millions of dollars,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Advance retail sales."
us_real_retail_sales,us_real_retail_sales,growth_lead,fred_alfred,fred,RRSFS,USA,monthly,sa,millions of dollars,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Real retail sales."
us_durable_goods_orders,us_durable_goods_orders,growth_lead,fred_alfred,fred,DGORDER,USA,monthly,sa,millions of dollars,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Manufacturers new orders durable goods."
us_durable_goods_ex_transport,us_durable_goods_ex_transport,growth_lead,fred_alfred,fred,ADXTNO,USA,monthly,sa,millions of dollars,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Manufacturers new orders excluding transportation."
us_yield_curve_10y2y,us_yield_curve_10y2y,growth_lead,fred_alfred,fred,T10Y2Y,USA,daily,nsa,percent,none,daily,2000-01-01,30,1,1,1,{},"10-year treasury minus 2-year treasury."
us_yield_curve_10y3m,us_yield_curve_10y3m,growth_lead,fred_alfred,fred,T10Y3M,USA,daily,nsa,percent,none,daily,2000-01-01,30,1,1,1,{},"10-year treasury minus 3-month treasury."
us_hy_oas,us_hy_oas,growth_lead,fred_alfred,fred,BAMLH0A0HYM2,USA,daily,nsa,percent,none,daily,2000-01-01,30,1,1,1,{},"ICE BofA US High Yield Index Option-Adjusted Spread."
us_nfci,us_nfci,growth_lead,fred_alfred,fred,NFCI,USA,weekly,nsa,index,true_vintage,weekly,2000-01-01,730,1,1,1,{},"Chicago Fed National Financial Conditions Index."
us_anfci,us_anfci,growth_lead,fred_alfred,fred,ANFCI,USA,weekly,nsa,index,true_vintage,weekly,2000-01-01,730,1,1,1,{},"Adjusted National Financial Conditions Index."
us_effective_fed_funds,us_effective_fed_funds,growth_lead,fred_alfred,fred,DFF,USA,daily,nsa,percent,none,daily,2000-01-01,30,1,1,1,{},"Effective federal funds rate."
us_sofr,us_sofr,growth_lead,fred_alfred,fred,SOFR,USA,daily,nsa,percent,none,daily,2018-01-01,30,2,1,1,{},"Secured Overnight Financing Rate."
us_headline_cpi,us_headline_cpi,inflation_now,fred_alfred,fred,CPIAUCSL,USA,monthly,sa,index 1982-84=100,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Headline CPI."
us_core_cpi,us_core_cpi,inflation_now,fred_alfred,fred,CPILFESL,USA,monthly,sa,index 1982-84=100,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Core CPI less food and energy."
us_headline_pce,us_headline_pce,inflation_now,fred_alfred,fred,PCEPI,USA,monthly,sa,index 2017=100,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Headline PCE price index."
us_core_pce,us_core_pce,inflation_now,fred_alfred,fred,PCEPILFE,USA,monthly,sa,index 2017=100,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Core PCE price index."
us_avg_hourly_earnings,us_avg_hourly_earnings,inflation_now,fred_alfred,fred,CES0500000003,USA,monthly,sa,dollars,true_vintage,monthly,1990-01-01,3650,1,1,1,{},"Average hourly earnings of all employees total private."
us_eci_all,us_eci_all,inflation_now,fred_alfred,fred,ECIALLCIV,USA,quarterly,sa,index dec-2005=100,true_vintage,quarterly,1990-01-01,3650,1,1,1,{},"Employment Cost Index civilian workers."
us_ppi_final_demand,us_ppi_final_demand,inflation_now,fred_alfred,fred,PPIFIS,USA,monthly,sa,index,true_vintage,monthly,2000-01-01,3650,1,1,1,{},"PPI final demand."
us_ppi_core_goods_less_food_energy,us_ppi_core_goods_less_food_energy,inflation_now,fred_alfred,fred,WPSFD413,USA,monthly,nsa,index,true_vintage,monthly,2000-01-01,3650,1,1,1,{},"PPI final demand goods less foods and energy."
us_5y_breakeven,us_5y_breakeven,inflation_lead,fred_alfred,fred,T5YIE,USA,daily,nsa,percent,none,daily,2003-01-01,30,1,1,1,{},"5-year breakeven inflation rate."
us_5y5y_forward_inflation,us_5y5y_forward_inflation,inflation_lead,fred_alfred,fred,T5YIFR,USA,daily,nsa,percent,none,daily,2003-01-01,30,1,1,1,{},"5-year 5-year forward inflation expectation rate."
us_10y_real_yield,us_10y_real_yield,inflation_lead,fred_alfred,fred,DFII10,USA,daily,nsa,percent,none,daily,2003-01-01,30,1,1,1,{},"10-year inflation-indexed treasury yield."
us_wti_spot,us_wti_spot,external_shock,eia_seriesid,seriesid,PET.RWTC.D,USA,daily,nsa,dollars per barrel,none,daily,2000-01-01,30,1,1,1,{},"EIA series ID for Cushing, OK WTI spot price."
us_brent_spot,us_brent_spot,external_shock,eia_seriesid,seriesid,PET.RBRTE.D,INT,daily,nsa,dollars per barrel,none,daily,2000-01-01,30,1,1,1,{},"EIA series ID for Europe Brent spot price."
us_henry_hub_natgas,us_henry_hub_natgas,external_shock,eia_seriesid,seriesid,NG.RNGWHHD.D,USA,daily,nsa,dollars per million btu,none,daily,2000-01-01,30,1,1,1,{},"EIA series ID for Henry Hub natural gas spot price."
global_copper,global_copper,external_shock,fred_alfred,fred,PCOPPUSDM,INT,monthly,nsa,usd per metric ton,none,monthly,2000-01-01,60,1,1,1,{},"Global copper price proxy in FRED."
