Tickers,CIK,CompanyName,Exchange,sector,industry,industry_aggregate
ABBV,1551152,AbbVie Inc.,NYSE,Healthcare,Drug Manufacturers - General,Healthcare: Biopharma & Research Tools
ABCL,1703057,AbCellera Biologics Inc.,Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools
ABSI,1672688,Absci Corp,Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools
ABT,1800,ABBOTT LABORATORIES,NYSE,Healthcare,Medical Devices,"Healthcare: Providers, Plans, MedTech & Distribution"
ABUS,1447028,Arbutus Biopharma Corp,Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools
ACAD,1070494,ACADIA PHARMACEUTICALS INC,Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools
ACRV,1781174,"Acrivon Therapeutics, Inc.",Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools
ADAG,1818838,Adagene Inc.,Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools
ADCT,1771910,ADC Therapeutics SA,NYSE,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools
ADMA,1368514,"ADMA BIOLOGICS, INC.",Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools
AGIO,1439222,"AGIOS PHARMACEUTICALS, INC.",Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools
ALDX,1341235,"Aldeyra Therapeutics, Inc.",Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools
ALEC,1653087,"Alector, Inc.",Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools
ALKS,1520262,Alkermes plc.,Nasdaq,Healthcare,Drug Manufacturers - Specialty & Generic,Healthcare: Biopharma & Research Tools
ALLO,1737287,"Allogene Therapeutics, Inc.",Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools
ALLR,1860657,"Allarity Therapeutics, Inc.",Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools
ALNY,1178670,"ALNYLAM PHARMACEUTICALS, INC.",Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools
ALT,1326190,"Altimmune, Inc.",Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools
AMGN,318154,AMGEN INC,Nasdaq,Healthcare,Drug Manufacturers - General,Healthcare: Biopharma & Research Tools
AMLX,1658551,"Amylyx Pharmaceuticals, Inc.",Nasdaq,Healthcare,Drug Manufacturers - Specialty & Generic,Healthcare: Biopharma & Research Tools
AMPH,1297184,"Amphastar Pharmaceuticals, Inc.",Nasdaq,Healthcare,Drug Manufacturers - Specialty & Generic,Healthcare: Biopharma & Research Tools
AMRX,1723128,"Amneal Pharmaceuticals, Inc.",Nasdaq,Healthcare,Drug Manufacturers - Specialty & Generic,Healthcare: Biopharma & Research Tools
ANIK,898437,"Anika Therapeutics, Inc.",Nasdaq,Healthcare,Drug Manufacturers - Specialty & Generic,Healthcare: Biopharma & Research Tools
