Ticker,CIK,CompanyName,Exchange,sector,industry,industry_aggregate,SecurityType,IsPrimaryListing,ListingStatus,Country,Currency,ManualInclude,ManualExclude,ManualReview,Notes,IdentityDataSources,MissingIdentityFields
ABBV,0001551152,AbbVie Inc.,NYSE,Healthcare,Drug Manufacturers - General,Healthcare: Biopharma & Research Tools,Common Stock,True,active,United States,USD,,,,,explicit_identity_fallback;nasdaqtrader:otherlisted,
ABCL,0001703057,AbCellera Biologics Inc.,Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools,Common Stock,True,active,United States,USD,,,,,explicit_identity_fallback;nasdaqtrader:nasdaqlisted,
ABSI,0001672688,Absci Corp,Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools,Common Stock,True,active,United States,USD,,,,,explicit_identity_fallback;nasdaqtrader:nasdaqlisted,
ABT,0000001800,ABBOTT LABORATORIES,NYSE,Healthcare,Medical Devices,"Healthcare: Providers, Plans, MedTech & Distribution",Common Stock,True,active,United States,USD,,,,,explicit_identity_fallback;nasdaqtrader:otherlisted,
ABUS,0001447028,Arbutus Biopharma Corp,Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools,Common Stock,True,active,United States,USD,,,,,explicit_identity_fallback;nasdaqtrader:nasdaqlisted,
ACAD,0001070494,ACADIA PHARMACEUTICALS INC,Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools,Common Stock,True,active,United States,USD,,,,,explicit_identity_fallback;nasdaqtrader:nasdaqlisted,
ACRV,0001781174,"Acrivon Therapeutics, Inc.",Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools,Common Stock,True,active,United States,USD,,,,,explicit_identity_fallback;nasdaqtrader:nasdaqlisted,
ADAG,0001818838,Adagene Inc.,Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools,ADR/ADS,True,active,United States,USD,,,,,explicit_identity_fallback;nasdaqtrader:nasdaqlisted,
ADCT,0001771910,ADC Therapeutics SA,NYSE,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools,Common Stock,True,active,United States,USD,,,,,explicit_identity_fallback;nasdaqtrader:otherlisted,
ADMA,0001368514,"ADMA BIOLOGICS, INC.",Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools,Common Stock,True,active,United States,USD,,,,,explicit_identity_fallback;nasdaqtrader:nasdaqlisted,
AGIO,0001439222,"AGIOS PHARMACEUTICALS, INC.",Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools,Common Stock,True,active,United States,USD,,,,,explicit_identity_fallback;nasdaqtrader:nasdaqlisted,
ALDX,0001341235,"Aldeyra Therapeutics, Inc.",Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools,Common Stock,True,active,United States,USD,,,,,explicit_identity_fallback;nasdaqtrader:nasdaqlisted,
ALEC,0001653087,"Alector, Inc.",Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools,Common Stock,True,active,United States,USD,,,,,explicit_identity_fallback;nasdaqtrader:nasdaqlisted,
ALKS,0001520262,Alkermes plc.,Nasdaq,Healthcare,Drug Manufacturers - Specialty & Generic,Healthcare: Biopharma & Research Tools,Ordinary Shares,True,active,United States,USD,,,,,explicit_identity_fallback;nasdaqtrader:nasdaqlisted,
ALLO,0001737287,"Allogene Therapeutics, Inc.",Nasdaq,Healthcare,Biotechnology,Healthcare: Biopharma & Research Tools,Common Stock,True,active,United States,USD,,,,,explicit_identity_fallback;nasdaqtrader:nasdaqlisted,
