ticker,investability_status,company_name,cik,exchange,sector,industry,subsector,country,currency,security_type,listing_status,is_primary_listing
BUD,investable,Anheuser-Busch InBev SA/NV,1668717,NYSE,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,ADR/ADS,active,TRUE
STZ,investable,"Constellation Brands, Inc.",16918,NYSE,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Common Stock,active,TRUE
TAP,investable,Molson Coors Beverage Company,24545,NYSE,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Common Stock,active,TRUE
CCU,investable,Compañía Cervecerías Unidas S.A.,888746,NYSE,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Common Stock,active,TRUE
SAM,investable,"The Boston Beer Company, Inc.",949870,NYSE,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Common Stock,active,TRUE
ABEV,investable,Ambev S.A.,1565025,NYSE,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,ADR/ADS,active,TRUE
KO,investable,The Coca-Cola Company,21344,NYSE,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Common Stock,active,TRUE
PEP,investable,"PepsiCo, Inc.",77476,Nasdaq,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Common Stock,active,TRUE
MNST,investable,Monster Beverage Corporation,865752,Nasdaq,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Common Stock,active,TRUE
CCEP,investable,Coca-Cola Europacific Partners PLC,1650107,Nasdaq,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Ordinary Shares,active,TRUE
KDP,investable,Keurig Dr Pepper Inc.,1418135,Nasdaq,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Common Stock,active,TRUE
COKE,investable,"Coca-Cola Consolidated, Inc.",317540,Nasdaq,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Common Stock,active,TRUE
PRMB,investable,Primo Brands Corporation,2042694,NYSE,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Common Stock,active,TRUE
CELH,investable,"Celsius Holdings, Inc.",1341766,Nasdaq,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Common Stock,active,TRUE
COCO,investable,"The Vita Coco Company, Inc.",1482981,Nasdaq,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Common Stock,active,TRUE
FIZZ,investable,National Beverage Corp.,69891,Nasdaq,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Common Stock,active,TRUE
ZVIA,investable,Zevia PBC,1854139,NYSE,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Common Stock,active,TRUE
WEST,investable,Westrock Coffee Company,1806347,Nasdaq,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Common Stock,active,TRUE
KOF,investable,"Coca-Cola FEMSA, S.A.B. de C.V.",910631,NYSE,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,ADR/ADS,active,TRUE
DEO,investable,Diageo plc,835403,NYSE,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Common Stock,active,TRUE
BF-B,investable,Brown-Forman Corporation,14693,NYSE,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Common Stock,active,TRUE
MGPI,investable,"MGP Ingredients, Inc.",835011,Nasdaq,Consumer Defensive,Beverages,Consumer Defensive,United States,USD,Common Stock,active,TRUE
FMX,investable,"Fomento Económico Mexicano, S.A.B. de C.V.",1061736,NYSE,Consumer Defensive,Discount Stores,Consumer Defensive,United States,USD,Common Stock,active,TRUE
WMT,investable,Walmart Inc.,104169,Nasdaq,Consumer Defensive,Discount Stores,Consumer Defensive,United States,USD,Common Stock,active,TRUE
